site_id,village,household_no,people_total,old_population,ratio
區域別,村里,戶數,人口數,old_population,ratio
北投區,智仁里,2334,6699,913,0.1362889984
北投區,秀山里,1240,3451,619,0.179368299
北投區,文化里,1673,4542,619,0.1362835755
北投區,豐年里,1702,4906,650,0.1324908276
北投區,稻香里,2176,5570,842,0.1511669659
北投區,桃源里,2322,6301,759,0.1204570703
北投區,一德里,2805,7780,910,0.116966581
北投區,關渡里,4191,11836,1714,0.1448124366
北投區,泉源里,848,2429,422,0.1737340469
北投區,湖山里,703,1791,393,0.2194304858
北投區,大屯里,433,1257,225,0.1789976134
北投區,湖田里,386,1020,178,0.1745098039
,,,,0,#DIV/0!
,,,,0,#DIV/0!
