代碼,學校名稱,公/私立,縣市名稱,地址
413610,市立平等國小,公立,臺北市,[111]臺北市士林區平等里平菁街101號
413611,市立百齡國小,公立,臺北市,[111]臺北市士林區福中里福港街205號
413612,市立雙溪國小,公立,臺北市,[111]臺北市士林區翠山里中社路2段66號
413613,市立葫蘆國小,公立,臺北市,[111]臺北市士林區環河北路3段95號
413614,市立雨農國小,公立,臺北市,[111]臺北市士林區名山里忠義街1號
413615,市立天母國小,公立,臺北市,[111]臺北市士林區天玉里天玉街12號
413616,市立文昌國小,公立,臺北市,[111]臺北市士林區文林路615巷20號
413617,市立芝山國小,公立,臺北市,[111]臺北市士林區芝山里德行東路285號
413618,市立蘭雅國小,公立,臺北市,[111]臺北市士林區蘭興里磺溪街57號
413619,市立三玉國小,公立,臺北市,[111]臺北市士林區三玉里天母東路116號
421601,私立薇閣小學,私立,臺北市,[112]臺北市北投區長安里育仁路106號
423601,市立北投國小,公立,臺北市,[112]臺北市北投區長安里中央北路1段73號
423602,市立逸仙國小,公立,臺北市,[112]臺北市北投區中心里新民路2號
423603,市立石牌國小,公立,臺北市,[112]臺北市北投區吉利里致遠二路80號
423604,市立關渡國小,公立,臺北市,[112]臺北市北投區一德里中央北路4段581號
423605,市立湖田國小,公立,臺北市,[112]臺北市北投區湖田里竹子湖路17之2號
423606,市立清江國小,公立,臺北市,[112]臺北市北投區奇岩里公館路220號
423607,市立泉源國小,公立,臺北市,[112]臺北市北投區泉源里東昇路34號
423608,市立大屯國小,公立,臺北市,[112]臺北市北投區大屯里復興三路312號
423609,市立湖山國小,公立,臺北市,[112]臺北市北投區湖山里湖底路11號
423610,市立桃源國小,公立,臺北市,[112]臺北市北投區中央北路3段40巷45號
423611,市立文林國小,公立,臺北市,[112]臺北市北投區建民里文林北路155號
423612,市立義方國小,公立,臺北市,[112]臺北市北投區珠海路155號
423613,市立立農國小,公立,臺北市,[112]臺北市北投區立農里立農街1段250號
423614,市立明德國小,公立,臺北市,[112]臺北市北投區榮華里明德路190號
423616,市立文化國小,公立,臺北市,[112]臺北市北投區文化里文化三路1號
