the_geom,cartodb_id,ratio,field_6,people_total_f,people_total_m,people_total,village,site_id
,82,3.14312977099237,524.00,1662,1647,"3,309.00",仁愛里,板橋區
,83,2.55984042553192,752.00,2162,1925,"4,087.00",和平里,板橋區
,84,3.79679144385027,561.00,2209,2130,"4,339.00",廣福里,板橋區
,85,3.29245283018868,636.00,2238,2094,"4,332.00",華興里,板橋區
,86,3.7972602739726,365.00,1477,1386,"2,863.00",華貴里,板橋區
,87,3.19414893617021,"1,128.00",3847,3603,"7,450.00",華德里,板橋區
,88,2.2771560236998,"1,519.00",3675,3459,"7,134.00",華東里,板橋區
,89,3.73972602739726,584.00,2237,2184,"4,421.00",信義里,板橋區
,90,4.96818181818182,440.00,2074,2186,"4,260.00",浮洲里,板橋區
,91,4.31651376146789,654.00,2803,2823,"5,626.00",華中里,板橋區
,92,3.59145299145299,585.00,2124,2101,"4,225.00",僑中里,板橋區
,93,4.58154506437768,466.00,2185,2135,"4,320.00",中山里,板橋區
,94,5.44915254237288,118.00,436,643,"1,079.00",復興里,板橋區
,95,4.30237154150198,506.00,2154,2177,"4,331.00",大安里,板橋區
,96,3.99101796407186,334.00,1381,1333,"2,714.00",福安里,板橋區
,97,4.38625954198473,655.00,2823,2873,"5,696.00",聚安里,板橋區
,98,4.81907894736842,304.00,1557,1465,"3,022.00",龍安里,板橋區
,99,3.91075514874142,"1,311.00",5325,5127,"10,452.00",崑崙里,板橋區
,100,3.96035805626598,782.00,3256,3097,"6,353.00",溪洲里,板橋區
,101,3.8155737704918,488.00,1936,1862,"3,798.00",溪北里,板橋區
,102,3.52356020942408,382.00,1370,1346,"2,716.00",香雅里,板橋區
,103,3.35493372606775,679.00,2266,2278,"4,544.00",新生里,板橋區
,104,3.00182149362477,549.00,1652,1648,"3,300.00",文德里,板橋區
,105,3.06417112299465,561.00,1803,1719,"3,522.00",文化里,板橋區
,106,3.91476091476092,481.00,1877,1883,"3,760.00",新海里,板橋區
,107,3.10569105691057,492.00,1571,1528,"3,099.00",莒光里,板橋區
,108,2.63764705882353,425.00,1241,1121,"2,362.00",富貴里,板橋區
,109,3.31601731601732,462.00,1671,1532,"3,203.00",正泰里,板橋區
,110,3.08888888888889,360.00,1296,1112,"2,408.00",民生里,板橋區
,111,2.5660621761658,772.00,2039,1981,"4,020.00",後埔里,板橋區
,112,3.17201166180758,343.00,1141,1088,"2,229.00",華福里,板橋區
,113,3.84991568296796,593.00,2296,2283,"4,579.00",堂春里,板橋區
,114,3.76723163841808,885.00,3465,3334,"6,799.00",成和里,板橋區
,115,3.38636363636364,396.00,1366,1341,"2,707.00",光榮里,板橋區
,116,3.03055555555556,360.00,1167,1091,"2,258.00",民安里,板橋區
,117,3.13495575221239,452.00,1493,1417,"2,910.00",陽明里,板橋區
,118,3.79372197309417,446.00,1841,1692,"3,533.00",朝陽里,板橋區
,119,3.47428571428571,350.00,1217,1216,"2,433.00",松柏里,板橋區
,120,3.34745762711864,590.00,2043,1975,"4,018.00",文聖里,板橋區
,121,3.26679462571977,521.00,1741,1702,"3,443.00",居仁里,板橋區
,122,2.9261744966443,745.00,2304,2180,"4,484.00",莊敬里,板橋區
,123,4.38019169329074,313.00,1435,1371,"2,806.00",東安里,板橋區
,124,3.78571428571429,588.00,2231,2226,"4,457.00",五權里,板橋區
,125,3.70113805047006,"2,021.00",7628,7480,"15,108.00",溪福里,板橋區
,126,4.07478632478632,468.00,2025,1907,"3,932.00",大觀里,板橋區
,127,5.86885245901639,122.00,675,716,"1,391.00",歡園里,板橋區
,128,3.42027194066749,809.00,2820,2767,"5,587.00",大有里,三重區
,129,4.07547169811321,212.00,850,864,"1,714.00",二重里,三重區
,130,3.78193146417446,321.00,1182,1214,"2,396.00",頂崁里,三重區
,131,4.50847457627119,118.00,472,532,"1,004.00",谷王里,三重區
,132,3.60035842293907,558.00,1976,2009,"3,985.00",中興里,三重區
,133,5.41666666666667,36.00,205,195,400.00,德厚里,三重區
,134,3.04878048780488,"1,025.00",3383,3125,"6,508.00",成功里,三重區
,135,2.91761071060762,971.00,2995,2833,"5,828.00",福祉里,三重區
,136,3.78189300411523,486.00,1863,1838,"3,701.00",福民里,三重區
,137,4.58362369337979,"1,148.00",4356,5262,"9,618.00",過田里,三重區
,138,3.55048859934853,307.00,1111,1090,"2,201.00",錦田里,三重區
,139,3.27526132404181,574.00,1966,1880,"3,846.00",重明里,三重區
,140,3.19440559440559,715.00,2374,2284,"4,658.00",光田里,三重區
,141,3.01308411214953,"1,070.00",3282,3224,"6,506.00",光陽里,三重區
,142,3.80714285714286,560.00,2131,2132,"4,263.00",田心里,三重區
,143,3.22664359861592,578.00,1846,1865,"3,711.00",福田里,三重區
,144,3.41709577754892,971.00,3413,3318,"6,731.00",田中里,三重區
,145,3.60228571428571,875.00,3382,3152,"6,534.00",田安里,三重區
,146,3.25782688766114,543.00,1781,1769,"3,550.00",三民里,三重區
,147,3.171926910299,"1,204.00",4000,3819,"7,819.00",光明里,三重區
,148,2.58024691358025,486.00,1302,1254,"2,556.00",光正里,三重區
,149,5.12328767123288,146.00,739,748,"1,487.00",同安里,三重區
,150,3.31448763250883,283.00,946,938,"1,884.00",同慶里,三重區
,151,4.17454545454546,275.00,1203,1148,"2,351.00",菜寮里,三重區
,152,3.77372262773723,274.00,1065,1034,"2,099.00",永春里,三重區
,153,3.65151515151515,198.00,709,723,"1,432.00",中正里,三重區
,154,3.57142857142857,203.00,732,725,"1,457.00",吉利里,三重區
,155,3.16666666666667,306.00,1064,969,"2,033.00",大同里,三重區
,156,4.16770186335404,161.00,661,671,"1,332.00",中民里,三重區
,157,5.75352112676056,142.00,779,817,"1,596.00",平和里,三重區
,158,4.01388888888889,216.00,862,867,"1,729.00",大安里,三重區
,159,4.36991869918699,246.00,1019,1075,"2,094.00",仁德里,三重區
,160,4.00884955752212,226.00,891,906,"1,797.00",忠孝里,三重區
,161,4.62406015037594,133.00,616,615,"1,231.00",仁義里,三重區
,162,3.15418502202643,227.00,739,716,"1,455.00",光榮里,三重區
,163,3.52401746724891,229.00,795,807,"1,602.00",光輝里,三重區
,164,3.02958579881657,169.00,553,512,"1,065.00",福星里,三重區
,165,2.97889182058048,379.00,1309,1129,"2,438.00",福利里,三重區
,166,2.95590551181102,635.00,2072,1877,"3,949.00",清和里,三重區
,167,3.64444444444444,180.00,701,656,"1,357.00",永興里,三重區
,168,3.03956043956044,455.00,1447,1383,"2,830.00",中山里,三重區
,169,3.99726775956284,366.00,1451,1463,"2,914.00",大園里,三重區
,170,3.70430107526882,372.00,1483,1378,"2,861.00",國隆里,三重區
,171,3.53846153846154,546.00,1943,1932,"3,875.00",重陽里,三重區
,172,4.24248120300752,532.00,2317,2257,"4,574.00",民生里,三重區
,173,3.76884422110553,199.00,768,750,"1,518.00",重新里,三重區
,174,3.92666666666667,150.00,632,589,"1,221.00",正德里,三重區
,175,3.64684014869889,269.00,971,981,"1,952.00",正義里,三重區
,176,3.78571428571429,266.00,1059,1007,"2,066.00",正安里,三重區
,177,4.0343347639485,233.00,969,940,"1,909.00",自強里,三重區
,178,3.58857142857143,350.00,1248,1256,"2,504.00",文化里,三重區
