site_id,village,people_total,people_total_m,people_total_f,sum,ratio
區域別,村里,人口數,人口數-男,人口數-女,sum,ratio
三重區,光正里,"2,556.00",1254,1302,486.00,0.38755980861244
三重區,同安里,"1,487.00",748,739,146.00,0.195187165775401
三重區,同慶里,"1,884.00",938,946,283.00,0.301705756929638
三重區,菜寮里,"2,351.00",1148,1203,275.00,0.239547038327526
三重區,永春里,"2,099.00",1034,1065,274.00,0.264990328820116
三重區,中正里,"1,432.00",723,709,198.00,0.273858921161826
三重區,吉利里,"1,457.00",725,732,203.00,0.28
三重區,大同里,"2,033.00",969,1064,306.00,0.315789473684211
三重區,中民里,"1,332.00",671,661,161.00,0.239940387481371
三重區,平和里,"1,596.00",817,779,142.00,0.173806609547124
三重區,大安里,"1,729.00",867,862,216.00,0.249134948096886
三重區,仁德里,"2,094.00",1075,1019,246.00,0.228837209302326
三重區,忠孝里,"1,797.00",906,891,226.00,0.249448123620309
三重區,仁義里,"1,231.00",615,616,133.00,0.216260162601626
三重區,光榮里,"1,455.00",716,739,227.00,0.317039106145251
三重區,光輝里,"1,602.00",807,795,229.00,0.283767038413879
三重區,福星里,"1,065.00",512,553,169.00,0.330078125
三重區,福利里,"2,438.00",1129,1309,379.00,0.335695305580159
三重區,清和里,"3,949.00",1877,2072,635.00,0.338305807139052
三重區,永興里,"1,357.00",656,701,180.00,0.274390243902439
三重區,中山里,"2,830.00",1383,1447,455.00,0.328994938539407
三重區,大園里,"2,914.00",1463,1451,366.00,0.250170881749829
三重區,國隆里,"2,861.00",1378,1483,372.00,0.269956458635704
三重區,重陽里,"3,875.00",1932,1943,546.00,0.282608695652174
三重區,民生里,"4,574.00",2257,2317,532.00,0.235711120957023
三重區,重新里,"1,518.00",750,768,199.00,0.265333333333333
三重區,正德里,"1,221.00",589,632,150.00,0.254668930390492
三重區,正義里,"1,952.00",981,971,269.00,0.27420998980632
三重區,正安里,"2,066.00",1007,1059,266.00,0.264150943396226
三重區,自強里,"1,909.00",940,969,233.00,0.247872340425532
三重區,文化里,"2,504.00",1256,1248,350.00,0.278662420382166
三重區,中央里,"1,820.00",904,916,224.00,0.247787610619469
三重區,雙園里,"1,028.00",518,510,117.00,0.225868725868726
三重區,錦通里,"1,586.00",759,827,174.00,0.229249011857708
三重區,錦安里,"1,916.00",920,996,230.00,0.25
三重區,長安里,"2,333.00",1163,1170,274.00,0.235597592433362
三重區,光華里,"2,024.00",1009,1015,299.00,0.296333002973241
三重區,長生里,922.00,456,466,135.00,0.296052631578947
三重區,開元里,"1,550.00",770,780,215.00,0.279220779220779
三重區,大德里,833.00,395,438,99.00,0.250632911392405
三重區,長元里,"2,599.00",1311,1288,307.00,0.234172387490465
三重區,長江里,"2,151.00",1068,1083,275.00,0.25749063670412
三重區,長泰里,"2,371.00",1192,1179,256.00,0.214765100671141
三重區,長福里,"1,645.00",789,856,173.00,0.219264892268695
三重區,介壽里,"1,250.00",612,638,155.00,0.253267973856209
三重區,萬壽里,"2,155.00",1049,1106,267.00,0.254528122020972
三重區,錦江里,"2,477.00",1237,1240,267.00,0.215844785772029
三重區,龍濱里,"3,480.00",1687,1793,418.00,0.247777119146414
三重區,龍門里,"2,021.00",991,1030,246.00,0.248234106962664
三重區,秀江里,"1,496.00",750,746,164.00,0.218666666666667
三重區,奕壽里,"1,850.00",911,939,232.00,0.254665203073546
三重區,三安里,"2,793.00",1345,1448,358.00,0.266171003717472
三重區,福安里,"3,201.00",1581,1620,436.00,0.275774826059456
三重區,信安里,"2,078.00",1018,1060,301.00,0.295677799607073
三重區,安慶里,"2,185.00",1073,1112,253.00,0.235787511649581
三重區,幸福里,"4,790.00",2355,2435,623.00,0.264543524416136
三重區,六合里,"3,940.00",1963,1977,484.00,0.246561385634233
三重區,六福里,"5,956.00",2930,3026,792.00,0.270307167235495
三重區,順德里,"2,350.00",1223,1127,246.00,0.201144726083401
三重區,承德里,"1,970.00",996,974,238.00,0.238955823293173
三重區,瑞德里,"2,553.00",1248,1305,259.00,0.207532051282051
三重區,崇德里,"4,229.00",2149,2080,440.00,0.204746393671475
三重區,厚德里,"3,875.00",1911,1964,536.00,0.280481423338566
三重區,維德里,"3,156.00",1528,1628,367.00,0.240183246073298
三重區,尚德里,"3,286.00",1590,1696,392.00,0.246540880503145
三重區,培德里,"3,982.00",1970,2012,571.00,0.289847715736041
三重區,永德里,"5,396.00",2658,2738,611.00,0.22987208427389
三重區,永盛里,"3,572.00",1736,1836,403.00,0.232142857142857
三重區,永福里,"5,895.00",2827,3068,639.00,0.226034665723382
三重區,永清里,"6,029.00",2908,3121,688.00,0.236588720770289
三重區,永安里,"4,459.00",2182,2277,499.00,0.228689275893676
三重區,永煇里,"2,675.00",1374,1301,323.00,0.235080058224163
三重區,溪美里,"8,322.00",4042,4280,"1,096.00",0.27115289460663
三重區,福隆里,"4,833.00",2326,2507,654.00,0.281169389509888
三重區,五常里,"4,447.00",2201,2246,508.00,0.230804179918219
三重區,五福里,"4,041.00",1947,2094,560.00,0.287621982537237
三重區,仁忠里,"3,363.00",1664,1699,313.00,0.188100961538462
三重區,慈福里,"2,323.00",1173,1150,266.00,0.226768968456948
三重區,慈生里,"2,428.00",1191,1237,265.00,0.222502099076406
三重區,慈惠里,"2,268.00",1125,1143,267.00,0.237333333333333
三重區,慈愛里,"3,703.00",1825,1878,403.00,0.220821917808219
三重區,慈化里,"2,704.00",1316,1388,321.00,0.243920972644377
三重區,慈祐里,"5,008.00",2499,2509,630.00,0.252100840336134
三重區,五華里,"5,469.00",2627,2842,777.00,0.295774647887324
三重區,富貴里,"6,471.00",3084,3387,"1,145.00",0.371271076523995
三重區,富華里,"3,393.00",1737,1656,443.00,0.25503742084053
三重區,富福里,"2,160.00",1050,1110,233.00,0.221904761904762
三重區,碧華里,"7,427.00",3554,3873,"1,391.00",0.391389983117614
三重區,五谷里,"1,826.00",953,873,252.00,0.264428121720881
三重區,博愛里,"4,771.00",2319,2452,649.00,0.279862009486848
三重區,福德里,"4,134.00",1946,2188,548.00,0.281603288797533
三重區,永吉里,"3,282.00",1587,1695,375.00,0.236294896030246
