site_id,village,people_total,people_total_m,people_total_f,,ratio
區域別,村里,人口數,人口數-男,人口數-女,,ratio
板橋區,大豐里,"4,909.00",2396,2513,718.00,3.33704735376045
板橋區,重慶里,"9,273.00",4526,4747,"1,384.00",3.27023121387283
板橋區,仁愛里,"3,309.00",1647,1662,524.00,3.14312977099237
板橋區,和平里,"4,087.00",1925,2162,752.00,2.55984042553192
板橋區,廣福里,"4,339.00",2130,2209,561.00,3.79679144385027
板橋區,華興里,"4,332.00",2094,2238,636.00,3.29245283018868
板橋區,華貴里,"2,863.00",1386,1477,365.00,3.7972602739726
板橋區,華德里,"7,450.00",3603,3847,"1,128.00",3.19414893617021
板橋區,華東里,"7,134.00",3459,3675,"1,519.00",2.2771560236998
板橋區,信義里,"4,421.00",2184,2237,584.00,3.73972602739726
板橋區,浮洲里,"4,260.00",2186,2074,440.00,4.96818181818182
板橋區,華中里,"5,626.00",2823,2803,654.00,4.31651376146789
板橋區,僑中里,"4,225.00",2101,2124,585.00,3.59145299145299
板橋區,中山里,"4,320.00",2135,2185,466.00,4.58154506437768
板橋區,復興里,"1,079.00",643,436,118.00,5.44915254237288
板橋區,大安里,"4,331.00",2177,2154,506.00,4.30237154150198
板橋區,福安里,"2,714.00",1333,1381,334.00,3.99101796407186
板橋區,聚安里,"5,696.00",2873,2823,655.00,4.38625954198473
板橋區,龍安里,"3,022.00",1465,1557,304.00,4.81907894736842
板橋區,崑崙里,"10,452.00",5127,5325,"1,311.00",3.91075514874142
板橋區,溪洲里,"6,353.00",3097,3256,782.00,3.96035805626598
板橋區,溪北里,"3,798.00",1862,1936,488.00,3.8155737704918
板橋區,香雅里,"2,716.00",1346,1370,382.00,3.52356020942408
板橋區,新生里,"4,544.00",2278,2266,679.00,3.35493372606775
板橋區,文德里,"3,300.00",1648,1652,549.00,3.00182149362477
板橋區,文化里,"3,522.00",1719,1803,561.00,3.06417112299465
板橋區,新海里,"3,760.00",1883,1877,481.00,3.91476091476092
板橋區,莒光里,"3,099.00",1528,1571,492.00,3.10569105691057
板橋區,富貴里,"2,362.00",1121,1241,425.00,2.63764705882353
板橋區,正泰里,"3,203.00",1532,1671,462.00,3.31601731601732
板橋區,民生里,"2,408.00",1112,1296,360.00,3.08888888888889
板橋區,後埔里,"4,020.00",1981,2039,772.00,2.5660621761658
板橋區,華福里,"2,229.00",1088,1141,343.00,3.17201166180758
板橋區,堂春里,"4,579.00",2283,2296,593.00,3.84991568296796
板橋區,成和里,"6,799.00",3334,3465,885.00,3.76723163841808
板橋區,光榮里,"2,707.00",1341,1366,396.00,3.38636363636364
板橋區,民安里,"2,258.00",1091,1167,360.00,3.03055555555556
板橋區,陽明里,"2,910.00",1417,1493,452.00,3.13495575221239
板橋區,朝陽里,"3,533.00",1692,1841,446.00,3.79372197309417
板橋區,松柏里,"2,433.00",1216,1217,350.00,3.47428571428571
板橋區,文聖里,"4,018.00",1975,2043,590.00,3.34745762711864
板橋區,居仁里,"3,443.00",1702,1741,521.00,3.26679462571977
板橋區,莊敬里,"4,484.00",2180,2304,745.00,2.9261744966443
板橋區,東安里,"2,806.00",1371,1435,313.00,4.38019169329074
板橋區,五權里,"4,457.00",2226,2231,588.00,3.78571428571429
板橋區,溪福里,"15,108.00",7480,7628,"2,021.00",3.70113805047006
板橋區,大觀里,"3,932.00",1907,2025,468.00,4.07478632478632
板橋區,歡園里,"1,391.00",716,675,122.00,5.86885245901639
三重區,大有里,"5,587.00",2767,2820,809.00,3.42027194066749
三重區,二重里,"1,714.00",864,850,212.00,4.07547169811321
三重區,頂崁里,"2,396.00",1214,1182,321.00,3.78193146417446
三重區,谷王里,"1,004.00",532,472,118.00,4.50847457627119
三重區,中興里,"3,985.00",2009,1976,558.00,3.60035842293907
三重區,德厚里,400.00,195,205,36.00,5.41666666666667
三重區,成功里,"6,508.00",3125,3383,"1,025.00",3.04878048780488
三重區,福祉里,"5,828.00",2833,2995,971.00,2.91761071060762
三重區,福民里,"3,701.00",1838,1863,486.00,3.78189300411523
三重區,過田里,"9,618.00",5262,4356,"1,148.00",4.58362369337979
三重區,錦田里,"2,201.00",1090,1111,307.00,3.55048859934853
三重區,重明里,"3,846.00",1880,1966,574.00,3.27526132404181
三重區,光田里,"4,658.00",2284,2374,715.00,3.19440559440559
三重區,光陽里,"6,506.00",3224,3282,"1,070.00",3.01308411214953
三重區,田心里,"4,263.00",2132,2131,560.00,3.80714285714286
三重區,福田里,"3,711.00",1865,1846,578.00,3.22664359861592
三重區,田中里,"6,731.00",3318,3413,971.00,3.41709577754892
三重區,田安里,"6,534.00",3152,3382,875.00,3.60228571428571
三重區,三民里,"3,550.00",1769,1781,543.00,3.25782688766114
三重區,光明里,"7,819.00",3819,4000,"1,204.00",3.171926910299
三重區,光正里,"2,556.00",1254,1302,486.00,2.58024691358025
三重區,同安里,"1,487.00",748,739,146.00,5.12328767123288
三重區,同慶里,"1,884.00",938,946,283.00,3.31448763250883
三重區,菜寮里,"2,351.00",1148,1203,275.00,4.17454545454546
三重區,永春里,"2,099.00",1034,1065,274.00,3.77372262773723
三重區,中正里,"1,432.00",723,709,198.00,3.65151515151515
三重區,吉利里,"1,457.00",725,732,203.00,3.57142857142857
三重區,大同里,"2,033.00",969,1064,306.00,3.16666666666667
三重區,中民里,"1,332.00",671,661,161.00,4.16770186335404
三重區,平和里,"1,596.00",817,779,142.00,5.75352112676056
三重區,大安里,"1,729.00",867,862,216.00,4.01388888888889
三重區,仁德里,"2,094.00",1075,1019,246.00,4.36991869918699
三重區,忠孝里,"1,797.00",906,891,226.00,4.00884955752212
三重區,仁義里,"1,231.00",615,616,133.00,4.62406015037594
三重區,光榮里,"1,455.00",716,739,227.00,3.15418502202643
三重區,光輝里,"1,602.00",807,795,229.00,3.52401746724891
三重區,福星里,"1,065.00",512,553,169.00,3.02958579881657
三重區,福利里,"2,438.00",1129,1309,379.00,2.97889182058048
三重區,清和里,"3,949.00",1877,2072,635.00,2.95590551181102
三重區,永興里,"1,357.00",656,701,180.00,3.64444444444444
三重區,中山里,"2,830.00",1383,1447,455.00,3.03956043956044
三重區,大園里,"2,914.00",1463,1451,366.00,3.99726775956284
三重區,國隆里,"2,861.00",1378,1483,372.00,3.70430107526882
三重區,重陽里,"3,875.00",1932,1943,546.00,3.53846153846154
三重區,民生里,"4,574.00",2257,2317,532.00,4.24248120300752
三重區,重新里,"1,518.00",750,768,199.00,3.76884422110553
三重區,正德里,"1,221.00",589,632,150.00,3.92666666666667
三重區,正義里,"1,952.00",981,971,269.00,3.64684014869889
三重區,正安里,"2,066.00",1007,1059,266.00,3.78571428571429
三重區,自強里,"1,909.00",940,969,233.00,4.0343347639485
三重區,文化里,"2,504.00",1256,1248,350.00,3.58857142857143
三重區,中央里,"1,820.00",904,916,224.00,4.03571428571429
三重區,雙園里,"1,028.00",518,510,117.00,4.42735042735043
三重區,錦通里,"1,586.00",759,827,174.00,4.36206896551724
三重區,錦安里,"1,916.00",920,996,230.00,4
三重區,長安里,"2,333.00",1163,1170,274.00,4.24452554744526
三重區,光華里,"2,024.00",1009,1015,299.00,3.37458193979933
三重區,長生里,922.00,456,466,135.00,3.37777777777778
三重區,開元里,"1,550.00",770,780,215.00,3.58139534883721
三重區,大德里,833.00,395,438,99.00,3.98989898989899
三重區,長元里,"2,599.00",1311,1288,307.00,4.27035830618893
三重區,長江里,"2,151.00",1068,1083,275.00,3.88363636363636
三重區,長泰里,"2,371.00",1192,1179,256.00,4.65625
三重區,長福里,"1,645.00",789,856,173.00,4.5606936416185
三重區,介壽里,"1,250.00",612,638,155.00,3.94838709677419
三重區,萬壽里,"2,155.00",1049,1106,267.00,3.92883895131086
三重區,錦江里,"2,477.00",1237,1240,267.00,4.63295880149813
三重區,龍濱里,"3,480.00",1687,1793,418.00,4.03588516746412
三重區,龍門里,"2,021.00",991,1030,246.00,4.02845528455285
三重區,秀江里,"1,496.00",750,746,164.00,4.57317073170732
三重區,奕壽里,"1,850.00",911,939,232.00,3.92672413793103
三重區,三安里,"2,793.00",1345,1448,358.00,3.75698324022346
三重區,福安里,"3,201.00",1581,1620,39.00,40.5384615384615
三重區,信安里,"2,078.00",1018,1060,436.00,2.3348623853211
三重區,安慶里,"2,185.00",1073,1112,301.00,3.56478405315615
三重區,幸福里,"4,790.00",2355,2435,253.00,9.30830039525692
三重區,六合里,"3,940.00",1963,1977,623.00,3.15088282504013
三重區,六福里,"5,956.00",2930,3026,484.00,6.05371900826446
三重區,順德里,"2,350.00",1223,1127,792.00,1.54419191919192
三重區,承德里,"1,970.00",996,974,246.00,4.04878048780488
三重區,瑞德里,"2,553.00",1248,1305,238.00,5.2436974789916
三重區,崇德里,"4,229.00",2149,2080,259.00,8.2972972972973
三重區,厚德里,"3,875.00",1911,1964,440.00,4.34318181818182
三重區,維德里,"3,156.00",1528,1628,536.00,2.85074626865672
三重區,尚德里,"3,286.00",1590,1696,367.00,4.33242506811989
三重區,培德里,"3,982.00",1970,2012,392.00,5.02551020408163
三重區,永德里,"5,396.00",2658,2738,571.00,4.65499124343257
三重區,永盛里,"3,572.00",1736,1836,611.00,2.84124386252046
三重區,永福里,"5,895.00",2827,3068,403.00,7.01488833746898
三重區,永清里,"6,029.00",2908,3121,639.00,4.5508607198748
三重區,永安里,"4,459.00",2182,2277,688.00,3.17151162790698
三重區,永煇里,"2,675.00",1374,1301,499.00,2.75350701402806
三重區,溪美里,"8,322.00",4042,4280,323.00,12.5139318885449
三重區,福隆里,"4,833.00",2326,2507,"1,096.00",2.12226277372263
三重區,五常里,"4,447.00",2201,2246,654.00,3.36544342507645
三重區,五福里,"4,041.00",1947,2094,508.00,3.83267716535433
三重區,仁忠里,"3,363.00",1664,1699,560.00,2.97142857142857
三重區,慈福里,"2,323.00",1173,1150,313.00,3.74760383386582
三重區,慈生里,"2,428.00",1191,1237,266.00,4.47744360902256
三重區,慈惠里,"2,268.00",1125,1143,265.00,4.24528301886793
三重區,慈愛里,"3,703.00",1825,1878,267.00,6.83520599250936
三重區,慈化里,"2,704.00",1316,1388,403.00,3.26550868486352
三重區,慈祐里,"5,008.00",2499,2509,321.00,7.78504672897196
三重區,五華里,"5,469.00",2627,2842,630.00,4.16984126984127
三重區,富貴里,"6,471.00",3084,3387,777.00,3.96911196911197
三重區,富華里,"3,393.00",1737,1656,"1,145.00",1.51703056768559
三重區,富福里,"2,160.00",1050,1110,443.00,2.37020316027088
三重區,碧華里,"7,427.00",3554,3873,233.00,15.2532188841202
三重區,五谷里,"1,826.00",953,873,"1,391.00",0.685118619698059
三重區,博愛里,"4,771.00",2319,2452,252.00,9.20238095238095
三重區,福德里,"4,134.00",1946,2188,649.00,2.99845916795069
三重區,永吉里,"3,282.00",1587,1695,548.00,2.89598540145985
三重區,永發里,"6,180.00",3092,3088,375.00,8.24533333333333
三重區,永順里,"5,491.00",2650,2841,982.00,2.69857433808554
三重區,永豐里,"6,340.00",3102,3238,638.00,4.86206896551724
三重區,立德里,"3,612.00",1764,1848,673.00,2.62109955423477
三重區,福樂里,"3,984.00",1984,2000,467.00,4.24839400428266
三重區,仁華里,"4,470.00",2182,2288,445.00,4.90337078651685
三重區,五順里,"4,161.00",2085,2076,603.00,3.45771144278607
中和區,中原里,"5,538.00",2733,2805,448.00,6.10044642857143
中和區,平河里,"9,617.00",4644,4973,901.00,5.1542730299667
中和區,信和里,"4,535.00",2295,2240,"1,400.00",1.63928571428571
中和區,仁和里,"4,490.00",2239,2251,580.00,3.86034482758621
中和區,中正里,"4,308.00",2104,2204,633.00,3.32385466034755
中和區,建和里,"3,791.00",1871,1920,518.00,3.61196911196911
中和區,連和里,"2,488.00",1130,1358,601.00,1.8801996672213
中和區,連城里,"6,711.00",3215,3496,474.00,6.78270042194093
中和區,力行里,"6,420.00",3073,3347,"1,104.00",2.78351449275362
中和區,枋寮里,"3,832.00",1906,1926,37.00,51.5135135135135
中和區,漳和里,"3,758.00",1829,1929,"1,116.00",1.63888888888889
中和區,廟美里,"4,604.00",2254,2350,645.00,3.49457364341085
中和區,福真里,"4,301.00",2113,2188,608.00,3.47532894736842
中和區,福善里,"4,335.00",2054,2281,707.00,2.90523338048091
中和區,福美里,"4,644.00",2286,2358,566.00,4.03886925795053
中和區,福祥里,"5,346.00",2624,2722,616.00,4.25974025974026
中和區,瓦󿾨里,"5,710.00",2774,2936,639.00,4.34115805946792
中和區,福和里,"3,828.00",1898,1930,700.00,2.71142857142857
中和區,佳和里,"4,950.00",2381,2569,868.00,2.74308755760369
中和區,安樂里,"3,689.00",1733,1956,592.00,2.92736486486487
中和區,安和里,"3,205.00",1525,1680,830.00,1.83734939759036
中和區,安平里,"6,032.00",2875,3157,831.00,3.45968712394705
中和區,中安里,"4,447.00",2084,2363,608.00,3.42763157894737
中和區,泰安里,"3,661.00",1735,1926,"1,415.00",1.22614840989399
中和區,新南里,"8,487.00",3963,4524,"1,082.00",3.66266173752311
中和區,南山里,"5,476.00",2675,2801,569.00,4.701230228471
中和區,秀山里,"4,689.00",2254,2435,"1,617.00",1.39393939393939
中和區,秀成里,"3,640.00",1783,1857,"1,003.00",1.77766699900299
中和區,秀福里,"4,899.00",2366,2533,775.00,3.05290322580645
中和區,秀景里,"6,521.00",3214,3307,669.00,4.80418535127055
中和區,秀明里,"5,157.00",2394,2763,950.00,2.52
中和區,秀峰里,"4,184.00",1942,2242,"1,187.00",1.63605728727885
中和區,秀仁里,"3,360.00",1650,1710,961.00,1.71696149843913
中和區,頂南里,"3,180.00",1549,1631,683.00,2.26793557833089
中和區,華新里,"7,617.00",3677,3940,577.00,6.37261698440208
中和區,東南里,"4,409.00",2160,2249,532.00,4.06015037593985
中和區,華南里,"5,246.00",2583,2663,"1,099.00",2.35031847133758
中和區,忠孝里,"5,141.00",2557,2584,801.00,3.19225967540574
中和區,崇南里,"4,193.00",2027,2166,913.00,2.22015334063527
中和區,景南里,"3,340.00",1599,1741,63.00,25.3809523809524
中和區,橫路里,366.00,193,173,759.00,0.254281949934124
中和區,內南里,"5,355.00",2721,2634,778.00,3.4974293059126
中和區,壽南里,"2,501.00",1269,1232,497.00,2.5533199195171
中和區,外南里,"7,452.00",4169,3283,25.00,166.76
中和區,復興里,"5,434.00",2571,2863,788.00,3.26269035532995
中和區,和興里,"4,594.00",2205,2389,375.00,5.88
中和區,景平里,"5,651.00",2676,2975,830.00,3.22409638554217
中和區,景新里,"3,731.00",1786,1945,796.00,2.24371859296482
中和區,景福里,"5,664.00",2668,2996,733.00,3.63983628922237
中和區,景安里,"4,907.00",2408,2499,"1,036.00",2.32432432432432
中和區,景文里,"3,340.00",1639,1701,551.00,2.97459165154265
中和區,錦和里,"5,877.00",2874,3003,985.00,2.91776649746193
中和區,錦昌里,"2,413.00",1230,1183,894.00,1.3758389261745
中和區,灰󿾨里,843.00,443,400,601.00,0.737104825291181
中和區,積穗里,"8,481.00",4103,4378,883.00,4.64665911664779
中和區,民享里,"2,611.00",1281,1330,413.00,3.10169491525424
中和區,員山里,"6,836.00",3335,3501,86.00,38.7790697674419
中和區,嘉穗里,"2,802.00",1400,1402,"1,344.00",1.04166666666667
中和區,文元里,"5,533.00",2696,2837,391.00,6.89514066496164
中和區,嘉新里,"4,198.00",2086,2112,976.00,2.13729508196721
中和區,民安里,"5,172.00",2576,2596,422.00,6.1042654028436
中和區,安穗里,"4,796.00",2334,2462,753.00,3.0996015936255
中和區,瑞穗里,"2,534.00",1180,1354,532.00,2.21804511278196
中和區,明穗里,"4,777.00",2387,2390,698.00,3.41977077363897
中和區,清穗里,"3,413.00",1737,1676,665.00,2.61203007518797
中和區,自強里,"5,302.00",2620,2682,360.00,7.27777777777778
中和區,德穗里,"4,692.00",2299,2393,850.00,2.70470588235294
中和區,民生里,"4,372.00",2098,2274,463.00,4.53131749460043
中和區,國光里,"4,098.00",2000,2098,748.00,2.67379679144385
中和區,壽德里,"4,848.00",2330,2518,776.00,3.00257731958763
中和區,明德里,"4,111.00",2023,2088,683.00,2.96193265007321
中和區,秀水里,"3,882.00",1877,2005,659.00,2.84825493171472
中和區,德行里,"6,941.00",3373,3568,743.00,4.53970390309556
中和區,宜安里,"1,889.00",925,964,499.00,1.85370741482966
中和區,安順里,"4,517.00",2119,2398,557.00,3.80430879712747
中和區,秀義里,"2,747.00",1380,1367,"1,367.00",1.00950987564009
中和區,秀士里,"2,570.00",1255,1315,357.00,3.51540616246499
中和區,興南里,"3,318.00",1613,1705,828.00,1.94806763285024
中和區,景本里,"2,248.00",1082,1166,481.00,2.24948024948025
中和區,福南里,"4,540.00",2156,2384,435.00,4.95632183908046
中和區,中興里,"7,132.00",3435,3697,471.00,7.29299363057325
中和區,吉興里,"3,146.00",1442,1704,346.00,4.16763005780347
中和區,中山里,"3,020.00",1481,1539,670.00,2.21044776119403
中和區,碧河里,"4,341.00",2137,2204,"1,357.00",1.57479734708917
中和區,錦中里,"4,414.00",2156,2258,541.00,3.98521256931608
中和區,錦盛里,"4,120.00",2008,2112,444.00,4.52252252252252
中和區,民有里,"2,910.00",1446,1464,674.00,2.14540059347181
中和區,員富里,"3,542.00",1783,1759,615.00,2.89918699186992
中和區,嘉慶里,"4,585.00",2286,2299,537.00,4.25698324022346
中和區,冠穗里,"3,524.00",1784,1740,411.00,4.34063260340633
中和區,國華里,"3,482.00",1737,1745,463.00,3.75161987041037
中和區,正南里,"3,730.00",1871,1859,568.00,3.29401408450704
中和區,正行里,"3,139.00",1499,1640,641.00,2.33853354134165
永和區,福林里,"3,582.00",1741,1841,481.00,3.61954261954262
永和區,文化里,"2,895.00",1381,1514,544.00,2.53860294117647
永和區,豫溪里,"4,988.00",2556,2432,537.00,4.75977653631285
永和區,光明里,"3,159.00",1428,1731,714.00,2
永和區,仁愛里,"2,782.00",1323,1459,526.00,2.51520912547529
永和區,永貞里,"3,659.00",1718,1941,875.00,1.96342857142857
永和區,永福里,"2,903.00",1411,1492,646.00,2.18421052631579
永和區,民治里,"3,072.00",1395,1677,519.00,2.6878612716763
永和區,永成里,"1,052.00",516,536,714.00,0.722689075630252
永和區,忠義里,859.00,446,413,625.00,0.7136
永和區,永元里,"5,057.00",2338,2719,487.00,4.80082135523614
永和區,秀林里,"3,911.00",1905,2006,114.00,16.7105263157895
永和區,保安里,"7,675.00",3660,4015,107.00,34.2056074766355
永和區,中溪里,"5,332.00",2646,2686,869.00,3.04487917146145
永和區,永安里,"4,382.00",2027,2355,734.00,2.76158038147139
永和區,民族里,"4,917.00",2323,2594,"1,566.00",1.48339719029374
永和區,民權里,"4,850.00",2354,2496,978.00,2.40695296523517
永和區,中興里,"2,982.00",1370,1612,957.00,1.43155694879833
永和區,勵行里,"1,313.00",622,691,901.00,0.690344062153163
永和區,秀朗里,"4,217.00",2053,2164,914.00,2.24617067833698
永和區,秀成里,"3,083.00",1523,1560,561.00,2.71479500891266
永和區,上溪里,"2,077.00",958,1119,213.00,4.49765258215962
永和區,竹林里,"3,831.00",1840,1991,672.00,2.73809523809524
永和區,雙和里,"4,130.00",1897,2233,558.00,3.39964157706093
永和區,安和里,"4,128.00",1919,2209,368.00,5.21467391304348
永和區,水源里,"4,305.00",2059,2246,719.00,2.86369958275382
永和區,協和里,"3,062.00",1485,1577,775.00,1.91612903225806
永和區,河堤里,"3,402.00",1626,1776,849.00,1.91519434628975
永和區,頂溪里,"2,570.00",1228,1342,823.00,1.49210206561361
永和區,潭墘里,"4,875.00",2216,2659,542.00,4.08856088560886
永和區,潭安里,"5,105.00",2481,2624,729.00,3.40329218106996
永和區,大新里,"2,738.00",1234,1504,515.00,2.39611650485437
永和區,保平里,"5,134.00",2421,2713,975.00,2.48307692307692
永和區,民本里,"4,270.00",2022,2248,"1,027.00",1.96884128529698
永和區,民樂里,"5,026.00",2455,2571,561.00,4.37611408199644
永和區,光復里,"1,775.00",810,965,921.00,0.879478827361564
永和區,復興里,"2,482.00",1186,1296,776.00,1.52835051546392
永和區,福和里,"5,416.00",2544,2872,"1,065.00",2.3887323943662
永和區,得和里,"4,535.00",2126,2409,340.00,6.25294117647059
永和區,智光里,"3,585.00",1742,1843,534.00,3.2621722846442
永和區,新生里,890.00,455,435,"1,224.00",0.371732026143791
永和區,大同里,"1,002.00",514,488,974.00,0.527720739219713
永和區,前溪里,"2,211.00",1021,1190,531.00,1.92278719397363
永和區,和平里,"5,136.00",2456,2680,100.00,24.56
永和區,新廍里,"2,323.00",1152,1171,97.00,11.8762886597938
永和區,下溪里,"4,215.00",2054,2161,429.00,4.78787878787879
永和區,秀和里,"5,240.00",2513,2727,964.00,2.60684647302905
永和區,河濱里,"3,410.00",1658,1752,459.00,3.61220043572985
永和區,民生里,"4,291.00",2001,2290,721.00,2.7753120665742
永和區,秀得里,"2,873.00",1370,1503,"1,075.00",1.27441860465116
永和區,上林里,"3,714.00",1772,1942,642.00,2.7601246105919
永和區,網溪里,"1,259.00",623,636,695.00,0.896402877697842
永和區,正興里,"2,355.00",1070,1285,491.00,2.17922606924644
永和區,永興里,"3,395.00",1605,1790,740.00,2.16891891891892
永和區,桂林里,"3,907.00",1859,2048,217.00,8.5668202764977
永和區,店街里,"4,353.00",1953,2400,455.00,4.29230769230769
永和區,信義里,"2,702.00",1229,1473,675.00,1.82074074074074
永和區,後溪里,"1,904.00",910,994,722.00,1.26038781163435
永和區,民富里,"3,279.00",1601,1678,859.00,1.86379511059371
永和區,秀元里,"3,285.00",1579,1706,557.00,2.83482944344704
永和區,永樂里,"2,582.00",1178,1404,375.00,3.14133333333333
永和區,保順里,"10,827.00",5090,5737,493.00,10.3245436105477
新莊區,海山里,"5,694.00",2769,2925,634.00,4.36750788643533
新莊區,頭前里,"7,653.00",3751,3902,452.00,8.29867256637168
新莊區,國泰里,"1,645.00",840,805,"2,114.00",0.397350993377483
新莊區,全安里,"4,743.00",2286,2457,786.00,2.90839694656489
新莊區,福基里,"4,416.00",2195,2221,"1,364.00",1.60923753665689
新莊區,豐年里,"3,940.00",1924,2016,198.00,9.71717171717172
新莊區,忠孝里,"5,094.00",2498,2596,641.00,3.89703588143526
新莊區,恆安里,"4,857.00",2360,2497,772.00,3.05699481865285
新莊區,後港里,"7,432.00",3612,3820,472.00,7.65254237288136
新莊區,文衡里,"2,259.00",1110,1149,751.00,1.4780292942743
