statistic_yyy,site_id,village,edu_age_15up_total,edu_senior_ungraduated_m,edu_senior_ungraduated_f,sum_highschool
統計年,區域別,村里名稱,總計,高肄_男,高肄_女,sum_highschool
105,中山區,恆安里,4432,199,368,567
105,中山區,晴光里,4849,219,382,601
105,中山區,圓山里,3866,178,314,492
105,中山區,劍潭里,3378,155,188,343
105,中山區,大直里,8348,295,492,787
105,中山區,成功里,5776,168,285,453
105,中山區,永安里,8326,278,451,729
105,中山區,大佳里,981,73,66,139
105,中山區,新喜里,4904,292,394,686
105,中山區,新庄里,4662,268,356,624
105,中山區,新福里,4750,256,382,638
105,中山區,松江里,5934,280,428,708
105,中山區,新生里,4531,261,347,608
105,中山區,中庄里,4754,289,353,642
105,中山區,行政里,7086,500,540,1040
105,中山區,行仁里,7518,514,625,1139
105,中山區,行孝里,3784,274,297,571
105,中山區,下埤里,6928,383,538,921
105,中山區,江寧里,6317,267,447,714
105,中山區,江山里,6899,329,457,786
105,中山區,中吉里,5029,214,338,552
105,中山區,中原里,4590,248,318,566
105,中山區,興亞里,4871,205,328,533
105,中山區,中央里,3244,144,230,374
105,中山區,朱馥里,5354,271,346,617
105,中山區,龍洲里,4632,140,317,457
105,中山區,朱園里,4183,164,275,439
105,中山區,埤頭里,3182,173,212,385
105,中山區,朱崙里,2546,115,163,278
105,中山區,力行里,5477,227,330,557
105,中山區,復華里,4222,140,255,395
105,中山區,金泰里,6542,280,378,658
105,中山區,北安里,2424,102,175,277
105,中正區,水源里,2732,117,162,279
105,中正區,富水里,2227,93,132,225
105,中正區,文盛里,2120,74,117,191
105,中正區,林興里,4025,167,237,404
105,中正區,河堤里,4273,154,234,388
105,中正區,頂東里,5613,222,332,554
105,中正區,網溪里,5352,195,303,498
105,中正區,板溪里,3083,174,189,363
105,中正區,螢圃里,4986,250,295,545
105,中正區,螢雪里,4108,229,286,515
105,中正區,永功里,5534,312,367,679
105,中正區,永昌里,4701,337,345,682
105,中正區,龍興里,3322,186,211,397
105,中正區,忠勤里,6165,457,459,916
105,中正區,廈安里,3621,200,230,430
105,中正區,愛國里,2807,102,216,318
105,中正區,南門里,2367,84,139,223
105,中正區,龍光里,2962,93,156,249
105,中正區,南福里,9028,305,413,718
105,中正區,龍福里,6357,275,370,645
105,中正區,新營里,7646,223,356,579
105,中正區,建國里,1289,40,62,102
105,中正區,光復里,3360,159,214,373
105,中正區,黎明里,2923,108,154,262
105,中正區,梅花里,2901,116,189,305
105,中正區,幸福里,4106,172,226,398
105,中正區,幸市里,4115,119,203,322
105,中正區,東門里,3573,104,168,272
105,中正區,文北里,4952,112,224,336
105,中正區,文祥里,6712,215,348,563
105,中正區,三愛里,7492,199,325,524
105,大同區,玉泉里,2746,144,192,336
105,大同區,建明里,3126,199,234,433
105,大同區,建功里,4225,278,318,596
105,大同區,建泰里,3334,190,244,434
105,大同區,永樂里,4843,282,384,666
105,大同區,朝陽里,4077,252,320,572
105,大同區,星明里,5295,302,391,693
105,大同區,光能里,4526,314,351,665
105,大同區,大有里,4477,323,375,698
105,大同區,延平里,3860,256,300,556
105,大同區,雙連里,8514,531,677,1208
105,大同區,南芳里,3580,229,280,509
105,大同區,民權里,5814,318,425,743
105,大同區,景星里,2544,202,186,388
105,大同區,隆和里,2787,211,223,434
105,大同區,蓬萊里,4511,288,324,612
105,大同區,國順里,2729,231,206,437
105,大同區,國慶里,3989,253,299,552
105,大同區,揚雅里,4025,287,268,555
105,大同區,斯文里,4950,336,390,726
