statistic_yyymm,site_id,village,people_total,people_total_m,people_total_f
統計年月,區域別,村里,人口數,人口數-男,人口數-女
10509,三重區,光正里,2556,1254,1302
10509,三重區,同安里,1487,748,739
10509,三重區,同慶里,1884,938,946
10509,三重區,菜寮里,2351,1148,1203
10509,三重區,永春里,2099,1034,1065
10509,三重區,中正里,1432,723,709
10509,三重區,吉利里,1457,725,732
10509,三重區,大同里,2033,969,1064
10509,三重區,中民里,1332,671,661
10509,三重區,平和里,1596,817,779
10509,三重區,大安里,1729,867,862
10509,三重區,仁德里,2094,1075,1019
10509,三重區,忠孝里,1797,906,891
10509,三重區,仁義里,1231,615,616
10509,三重區,光榮里,1455,716,739
10509,三重區,光輝里,1602,807,795
10509,三重區,福星里,1065,512,553
10509,三重區,福利里,2438,1129,1309
10509,三重區,清和里,3949,1877,2072
10509,三重區,永興里,1357,656,701
10509,三重區,中山里,2830,1383,1447
10509,三重區,大園里,2914,1463,1451
10509,三重區,國隆里,2861,1378,1483
10509,三重區,重陽里,3875,1932,1943
10509,三重區,民生里,4574,2257,2317
10509,三重區,重新里,1518,750,768
10509,三重區,正德里,1221,589,632
10509,三重區,正義里,1952,981,971
10509,三重區,正安里,2066,1007,1059
10509,三重區,自強里,1909,940,969
10509,三重區,文化里,2504,1256,1248
10509,三重區,中央里,1820,904,916
10509,三重區,雙園里,1028,518,510
10509,三重區,錦通里,1586,759,827
10509,三重區,錦安里,1916,920,996
10509,三重區,長安里,2333,1163,1170
10509,三重區,光華里,2024,1009,1015
10509,三重區,長生里,922,456,466
10509,三重區,開元里,1550,770,780
10509,三重區,大德里,833,395,438
10509,三重區,長元里,2599,1311,1288
10509,三重區,長江里,2151,1068,1083
10509,三重區,長泰里,2371,1192,1179
10509,三重區,長福里,1645,789,856
10509,三重區,介壽里,1250,612,638
10509,三重區,萬壽里,2155,1049,1106
10509,三重區,錦江里,2477,1237,1240
10509,三重區,龍濱里,3480,1687,1793
10509,三重區,龍門里,2021,991,1030
10509,三重區,秀江里,1496,750,746
10509,三重區,奕壽里,1850,911,939
10509,三重區,三安里,2793,1345,1448
10509,三重區,福安里,3201,1581,1620
10509,三重區,信安里,2078,1018,1060
10509,三重區,安慶里,2185,1073,1112
10509,三重區,幸福里,4790,2355,2435
10509,三重區,六合里,3940,1963,1977
10509,三重區,六福里,5956,2930,3026
10509,三重區,順德里,2350,1223,1127
10509,三重區,承德里,1970,996,974
10509,三重區,瑞德里,2553,1248,1305
10509,三重區,崇德里,4229,2149,2080
10509,三重區,厚德里,3875,1911,1964
10509,三重區,維德里,3156,1528,1628
10509,三重區,尚德里,3286,1590,1696
10509,三重區,培德里,3982,1970,2012
10509,三重區,永德里,5396,2658,2738
10509,三重區,永盛里,3572,1736,1836
10509,三重區,永福里,5895,2827,3068
10509,三重區,永清里,6029,2908,3121
10509,三重區,永安里,4459,2182,2277
10509,三重區,永煇里,2675,1374,1301
10509,三重區,溪美里,8322,4042,4280
10509,三重區,福隆里,4833,2326,2507
10509,三重區,五常里,4447,2201,2246
10509,三重區,五福里,4041,1947,2094
10509,三重區,仁忠里,3363,1664,1699
10509,三重區,慈福里,2323,1173,1150
10509,三重區,慈生里,2428,1191,1237
10509,三重區,慈惠里,2268,1125,1143
10509,三重區,慈愛里,3703,1825,1878
10509,三重區,慈化里,2704,1316,1388
10509,三重區,慈祐里,5008,2499,2509
10509,三重區,五華里,5469,2627,2842
10509,三重區,富貴里,6471,3084,3387
10509,三重區,富華里,3393,1737,1656
10509,三重區,富福里,2160,1050,1110
10509,三重區,碧華里,7427,3554,3873
10509,三重區,五谷里,1826,953,873
10509,三重區,博愛里,4771,2319,2452
10509,三重區,福德里,4134,1946,2188
10509,三重區,永吉里,3282,1587,1695
10509,三重區,永發里,6180,3092,3088
10509,三重區,永順里,5491,2650,2841
10509,三重區,永豐里,6340,3102,3238
10509,三重區,立德里,3612,1764,1848
10509,三重區,福樂里,3984,1984,2000
10509,三重區,仁華里,4470,2182,2288
10509,三重區,五順里,4161,2085,2076
10509,中和區,中原里,5538,2733,2805
10509,中和區,平河里,9617,4644,4973
10509,中和區,信和里,4535,2295,2240
10509,中和區,仁和里,4490,2239,2251
10509,中和區,中正里,4308,2104,2204
10509,中和區,建和里,3791,1871,1920
10509,中和區,連和里,2488,1130,1358
10509,中和區,連城里,6711,3215,3496
10509,中和區,力行里,6420,3073,3347
10509,中和區,枋寮里,3832,1906,1926
10509,中和區,漳和里,3758,1829,1929
10509,中和區,廟美里,4604,2254,2350
10509,中和區,福真里,4301,2113,2188
10509,中和區,福善里,4335,2054,2281
10509,中和區,福美里,4644,2286,2358
10509,中和區,福祥里,5346,2624,2722
10509,中和區,瓦󿾨里,5710,2774,2936
10509,中和區,福和里,3828,1898,1930
10509,中和區,佳和里,4950,2381,2569
10509,中和區,安樂里,3689,1733,1956
10509,中和區,安和里,3205,1525,1680
10509,中和區,安平里,6032,2875,3157
10509,中和區,中安里,4447,2084,2363
10509,中和區,泰安里,3661,1735,1926
10509,中和區,新南里,8487,3963,4524
10509,中和區,南山里,5476,2675,2801
10509,中和區,秀山里,4689,2254,2435
10509,中和區,秀成里,3640,1783,1857
10509,中和區,秀福里,4899,2366,2533
10509,中和區,秀景里,6521,3214,3307
10509,中和區,秀明里,5157,2394,2763
10509,中和區,秀峰里,4184,1942,2242
10509,中和區,秀仁里,3360,1650,1710
10509,中和區,頂南里,3180,1549,1631
10509,中和區,華新里,7617,3677,3940
10509,中和區,東南里,4409,2160,2249
10509,中和區,華南里,5246,2583,2663
10509,中和區,忠孝里,5141,2557,2584
10509,中和區,崇南里,4193,2027,2166
10509,中和區,景南里,3340,1599,1741
10509,中和區,橫路里,366,193,173
10509,中和區,內南里,5355,2721,2634
10509,中和區,壽南里,2501,1269,1232
10509,中和區,外南里,7452,4169,3283
10509,中和區,復興里,5434,2571,2863
10509,中和區,和興里,4594,2205,2389
10509,中和區,景平里,5651,2676,2975
10509,中和區,景新里,3731,1786,1945
10509,中和區,景福里,5664,2668,2996
10509,中和區,景安里,4907,2408,2499
10509,中和區,景文里,3340,1639,1701
10509,中和區,錦和里,5877,2874,3003
10509,中和區,錦昌里,2413,1230,1183
