site_id,village,0-6,6-12,all
區域別,村里,0-6,6-12,all
大同區,南芳里,371,220,591
大同區,民權里,558,498,1056
大同區,景星里,202,102,304
大同區,隆和里,226,184,410
大同區,蓬萊里,336,189,525
大同區,國順里,207,88,295
大同區,國慶里,376,150,526
大同區,揚雅里,233,86,319
大同區,斯文里,389,161,550
大同區,鄰江里,431,184,615
大同區,至聖里,621,287,908
大同區,老師里,452,249,701
大同區,重慶里,545,324,869
大同區,保安里,287,156,443
萬華區,福星里,427,236,663
萬華區,萬壽里,250,114,364
萬華區,西門里,295,115,410
萬華區,新起里,459,162,621
萬華區,菜園里,491,183,674
萬華區,青山里,347,152,499
萬華區,富民里,350,147,497
萬華區,福音里,257,132,389
萬華區,仁德里,271,125,396
萬華區,富福里,299,162,461
萬華區,頂碩里,505,267,772
萬華區,雙園里,422,247,669
萬華區,新忠里,199,125,324
萬華區,新和里,515,271,786
萬華區,糖廍里,399,164,563
萬華區,和平里,488,177,665
萬華區,綠堤里,267,141,408
萬華區,華江里,653,271,924
萬華區,柳鄉里,377,180,557
萬華區,日善里,293,157,450
萬華區,新安里,378,220,598
萬華區,忠德里,341,211,552
萬華區,孝德里,271,115,386
萬華區,和德里,585,302,887
萬華區,錦德里,475,165,640
萬華區,全德里,385,255,640
萬華區,保德里,232,157,389
萬華區,銘德里,347,154,501
萬華區,榮德里,286,114,400
萬華區,壽德里,386,276,662
萬華區,興德里,407,276,683
萬華區,華中里,472,256,728
萬華區,日祥里,367,178,545
萬華區,忠貞里,272,166,438
萬華區,凌霄里,229,118,347
萬華區,騰雲里,175,72,247
文山區,景行里,641,684,1325
文山區,景東里,561,558,1119
文山區,景美里,408,422,830
文山區,景慶里,475,486,961
文山區,景仁里,432,330,762
文山區,景華里,411,372,783
文山區,萬有里,429,347,776
文山區,萬祥里,335,247,582
文山區,萬隆里,573,441,1014
文山區,萬年里,379,186,565
文山區,萬和里,226,127,353
文山區,萬盛里,319,167,486
文山區,興豐里,301,284,585
文山區,興光里,247,147,394
文山區,興家里,560,327,887
文山區,興得里,434,275,709
文山區,興業里,394,183,577
文山區,興安里,469,345,814
文山區,興福里,493,437,930
文山區,興旺里,763,311,1074
文山區,興泰里,288,139,427
文山區,興昌里,469,319,788
文山區,試院里,522,313,835
文山區,華興里,684,450,1134
文山區,明義里,290,309,599
文山區,明興里,429,266,695
文山區,木柵里,612,469,1081
文山區,木新里,588,421,1009
文山區,順興里,677,439,1116
文山區,樟林里,612,406,1018
文山區,樟新里,521,312,833
文山區,樟腳里,471,375,846
文山區,萬芳里,573,379,952
文山區,博嘉里,420,224,644
文山區,萬興里,636,626,1262
文山區,指南里,267,173,440
文山區,老泉里,67,65,132
文山區,忠順里,233,133,366
文山區,萬美里,493,315,808
文山區,政大里,772,698,1470
文山區,樟文里,483,321,804
文山區,興邦里,335,168,503
文山區,樟樹里,417,311,728
南港區,南港里,478,300,778
南港區,中南里,282,181,463
南港區,新富里,363,194,557
南港區,三重里,816,341,1157
南港區,東新里,554,364,918
南港區,新光里,261,163,424
南港區,東明里,346,232,578
南港區,西新里,416,248,664
南港區,玉成里,411,219,630
南港區,合成里,494,275,769
南港區,成福里,545,289,834
南港區,萬福里,293,148,441
南港區,鴻福里,365,185,550
南港區,百福里,442,226,668
南港區,聯成里,395,203,598
南港區,舊莊里,762,396,1158
南港區,中研里,814,422,1236
南港區,九如里,551,298,849
南港區,仁福里,361,269,630
南港區,重陽里,556,325,881
內湖區,西湖里,517,202,719
內湖區,西康里,689,284,973
內湖區,西安里,495,192,687
