the_geom,cartodb_id,statistic_yyy,site_id,village,edu_age_15up_total,edu_senior_ungraduated_m,edu_senior_ungraduated_f,sum_highschool
,87,105,大安區,龍泉里,4164,116,186,302
,88,105,大安區,古風里,3766,99,192,291
,89,105,大安區,古莊里,6301,188,301,489
,90,105,大安區,龍安里,7000,254,295,549
,91,105,大安區,錦安里,5152,105,218,323
,92,105,大安區,福住里,5415,124,227,351
,93,105,大安區,永康里,3241,100,149,249
,94,105,大安區,光明里,2999,109,127,236
,95,105,大安區,錦泰里,3096,86,120,206
,96,105,大安區,錦華里,4818,119,217,336
,97,105,大安區,龍圖里,6165,197,319,516
,98,105,大安區,新龍里,6019,128,284,412
,99,105,大安區,龍陣里,3251,99,194,293
,100,105,大安區,龍雲里,4429,163,235,398
,101,105,大安區,龍生里,5809,158,265,423
,102,105,大安區,住安里,4758,227,280,507
,103,105,大安區,義安里,4894,110,230,340
,104,105,大安區,通化里,5626,284,403,687
,105,105,大安區,通安里,5106,253,340,593
,106,105,大安區,臨江里,3821,243,305,548
,107,105,大安區,法治里,4081,149,244,393
,108,105,大安區,全安里,3994,93,188,281
,109,105,大安區,群賢里,5397,149,288,437
,110,105,大安區,群英里,6509,163,330,493
,111,105,大安區,虎嘯里,3424,78,163,241
,112,105,大安區,臥龍里,1773,59,73,132
,113,105,大安區,龍淵里,8020,231,354,585
,114,105,大安區,龍門里,3789,82,145,227
,115,105,大安區,大學里,7545,198,338,536
,116,105,大安區,芳和里,5306,259,351,610
,117,105,大安區,黎元里,5049,351,401,752
,118,105,大安區,黎孝里,6976,329,456,785
,119,105,大安區,黎和里,4498,235,300,535
,120,105,大安區,建安里,4458,109,231,340
,121,105,大安區,建倫里,5573,134,274,408
,122,105,大安區,敦安里,5588,156,257,413
,123,105,大安區,正聲里,4301,97,223,320
,124,105,大安區,敦煌里,5349,115,262,377
,125,105,大安區,華聲里,3833,140,208,348
,126,105,大安區,車層里,5680,148,297,445
,127,105,大安區,光信里,6928,199,401,600
,128,105,大安區,學府里,2472,138,103,241
,129,105,中山區,正守里,2917,149,201,350
