site_id,village,people_total,people_total_m,people_total_f,,ratio
區域別,村里,人口數,人口數-男,人口數-女,,ratio
板橋區,華中里,"5,626.00",2823,2803,654.00,0.231668437832094
板橋區,僑中里,"4,225.00",2101,2124,585.00,0.278438838648263
板橋區,中山里,"4,320.00",2135,2185,466.00,0.218266978922717
板橋區,復興里,"1,079.00",643,436,118.00,0.183514774494557
板橋區,大安里,"4,331.00",2177,2154,506.00,0.23242994947175
板橋區,福安里,"2,714.00",1333,1381,334.00,0.250562640660165
板橋區,聚安里,"5,696.00",2873,2823,655.00,0.22798468499826
板橋區,龍安里,"3,022.00",1465,1557,304.00,0.207508532423208
板橋區,崑崙里,"10,452.00",5127,5325,"1,311.00",0.255705090696314
板橋區,溪洲里,"6,353.00",3097,3256,782.00,0.252502421698418
板橋區,溪北里,"3,798.00",1862,1936,488.00,0.262083780880773
板橋區,香雅里,"2,716.00",1346,1370,382.00,0.283803863298663
板橋區,新生里,"4,544.00",2278,2266,679.00,0.298068481123793
板橋區,文德里,"3,300.00",1648,1652,549.00,0.333131067961165
板橋區,文化里,"3,522.00",1719,1803,561.00,0.326352530541012
板橋區,新海里,"3,760.00",1883,1877,481.00,0.255443441317047
板橋區,莒光里,"3,099.00",1528,1571,492.00,0.321989528795812
板橋區,富貴里,"2,362.00",1121,1241,425.00,0.379125780553078
板橋區,正泰里,"3,203.00",1532,1671,462.00,0.301566579634465
板橋區,民生里,"2,408.00",1112,1296,360.00,0.323741007194245
板橋區,後埔里,"4,020.00",1981,2039,772.00,0.389702170620899
板橋區,華福里,"2,229.00",1088,1141,343.00,0.315257352941176
板橋區,堂春里,"4,579.00",2283,2296,593.00,0.259745948313622
板橋區,成和里,"6,799.00",3334,3465,885.00,0.265446910617876
板橋區,光榮里,"2,707.00",1341,1366,396.00,0.295302013422819
板橋區,民安里,"2,258.00",1091,1167,360.00,0.329972502291476
板橋區,陽明里,"2,910.00",1417,1493,452.00,0.318983768525053
板橋區,朝陽里,"3,533.00",1692,1841,446.00,0.263593380614657
板橋區,松柏里,"2,433.00",1216,1217,350.00,0.287828947368421
板橋區,文聖里,"4,018.00",1975,2043,590.00,0.29873417721519
板橋區,居仁里,"3,443.00",1702,1741,521.00,0.306110458284371
板橋區,莊敬里,"4,484.00",2180,2304,745.00,0.341743119266055
板橋區,東安里,"2,806.00",1371,1435,313.00,0.228300510576222
板橋區,五權里,"4,457.00",2226,2231,588.00,0.264150943396226
板橋區,溪福里,"15,108.00",7480,7628,"2,021.00",0.270187165775401
板橋區,大觀里,"3,932.00",1907,2025,468.00,0.245411641321447
板橋區,歡園里,"1,391.00",716,675,122.00,0.170391061452514
三重區,大有里,"5,587.00",2767,2820,809.00,0.292374412721359
三重區,二重里,"1,714.00",864,850,212.00,0.24537037037037
三重區,頂崁里,"2,396.00",1214,1182,321.00,0.264415156507414
三重區,谷王里,"1,004.00",532,472,118.00,0.221804511278195
三重區,中興里,"3,985.00",2009,1976,558.00,0.27775012444002
