縣市代碼,縣市名稱,學校代碼,學校名稱,1年級班級數,2年級班級數,3年級班級數,4年級班級數,5年級班級數,6年級班級數,1年級男學生數,1年級女學生數,2年級男學生數,2年級女學生數,3年級男學生數,3年級女學生數,4年級男學生數,4年級女學生數,5年級男學生數,5年級女學生數,6年級男學生數,6年級女學生數,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
30,台北市,381602,私立中山小學,3,3,3,3,3,3,46,45,54,41,59,45,47,38,46,26,42,26,44,37,5,31,1,5
30,台北市,381603,私立再興小學,6,6,6,6,6,6,119,133,133,111,144,107,122,130,139,110,143,108,131,104,10,56,3,5
30,台北市,383601,市立景美國小,4,5,4,4,5,5,48,58,56,66,66,54,62,60,62,56,72,53,56,60,19,38,0,7
30,台北市,383602,市立武功國小,2,2,2,2,2,2,23,17,30,22,24,16,29,13,25,25,22,26,17,26,9,20,0,6
30,台北市,383603,市立興德國小,2,2,2,2,2,2,23,20,21,16,11,17,24,25,25,18,31,22,19,19,7,22,2,4
30,台北市,383604,市立溪口國小,3,4,5,4,4,4,42,35,41,59,74,54,58,59,60,45,59,56,67,61,9,40,1,6
30,台北市,383605,市立興隆國小,4,4,4,4,4,5,47,43,61,45,60,45,59,49,50,46,72,68,43,54,14,44,2,5
30,台北市,383606,市立志清國小,4,4,5,4,5,4,58,51,65,51,80,47,55,54,67,60,63,57,54,56,12,46,1,6
30,台北市,383607,市立景興國小,6,6,6,6,6,6,75,73,75,82,75,83,81,87,93,87,81,69,95,84,22,55,3,7
30,台北市,383608,市立木柵國小,4,5,6,6,6,6,48,60,50,53,71,85,78,58,68,55,82,65,75,66,16,50,2,6
30,台北市,383609,市立永建國小,3,3,3,3,3,3,47,33,30,43,34,41,43,40,37,43,42,35,37,37,14,29,1,5
30,台北市,383610,市立實踐國小,4,5,5,5,6,7,55,45,60,59,57,58,68,54,66,47,82,59,82,53,9,58,0,7
30,台北市,383611,市立博嘉國小,2,2,2,2,2,1,37,21,20,20,17,17,14,23,13,16,10,6,13,10,7,16,2,2
30,台北市,383612,市立指南國小,1,1,1,1,1,1,6,12,16,8,11,5,9,9,10,5,14,5,8,4,4,13,0,2
30,台北市,383613,市立明道國小,2,2,2,2,5,3,19,19,19,19,27,20,26,21,36,21,27,20,26,25,12,24,2,4
30,台北市,383614,市立萬芳國小,3,4,4,4,4,4,39,29,41,50,40,43,45,30,47,43,52,47,53,48,11,44,1,5
30,台北市,383615,市立力行國小,8,7,8,9,8,8,113,93,97,105,108,112,122,119,96,104,113,101,114,100,28,64,4,6
30,台北市,383616,市立萬興國小,5,5,5,5,5,5,66,52,59,55,53,67,60,57,60,64,67,75,66,56,13,45,2,6
30,台北市,383617,市立萬福國小,3,3,3,3,3,4,35,28,39,32,51,35,40,40,39,41,61,38,56,28,9,34,0,6
30,台北市,383618,市立興華國小,3,3,3,3,4,4,34,29,34,36,47,36,46,31,38,54,48,41,54,51,15,34,0,6
30,台北市,383619,市立辛亥國小,2,2,2,2,2,2,24,18,21,17,22,14,18,22,16,18,21,18,21,18,8,22,0,6
30,台北市,393601,市立南港國小,9,7,8,8,8,9,141,107,94,114,117,100,99,101,123,86,115,78,116,92,31,66,2,8
30,台北市,393602,市立舊莊國小,2,2,2,4,2,4,19,18,24,15,23,27,25,24,30,21,30,30,39,31,10,31,1,5
30,台北市,393603,市立玉成國小,3,4,3,3,4,4,34,31,40,48,49,31,42,42,42,39,47,34,60,43,15,31,1,6
30,台北市,393604,市立成德國小,3,4,3,3,4,4,39,36,48,50,36,46,38,29,47,40,48,39,42,50,11,32,0,6
30,台北市,393605,市立胡適國小,5,6,6,5,5,6,70,61,62,62,72,89,68,66,64,71,88,57,70,68,24,45,2,5
30,台北市,393606,市立東新國小,3,4,4,3,4,4,31,38,41,39,56,45,44,28,45,36,44,46,46,50,9,43,2,5
30,台北市,393607,市立修德國小,3,3,3,3,3,4,38,34,46,22,38,42,41,35,46,22,45,49,33,32,10,30,1,5
30,台北市,400144,國立台灣戲曲學院(國小),0,0,0,0,2,2,0,0,0,0,0,0,0,0,35,25,20,38,18,33,1,3,0,0
30,台北市,403601,市立內湖國小,8,10,10,11,10,12,126,103,130,109,135,138,120,133,124,121,117,121,146,125,25,105,1,9
30,台北市,403602,市立碧湖國小,5,6,6,7,6,6,64,61,80,66,85,68,97,87,81,50,90,84,83,80,20,60,3,6
30,台北市,403603,市立潭美國小,2,2,2,2,3,3,16,20,30,17,24,24,12,28,24,12,20,24,28,14,7,27,0,6
30,台北市,403604,市立東湖國小,8,11,10,10,13,12,119,110,173,132,156,125,145,132,146,153,143,122,169,169,34,100,0,11
30,台北市,403605,市立西湖國小,2,3,3,3,3,3,28,21,35,24,43,39,41,35,43,32,48,27,43,40,12,32,3,3
