高級中等學校校別概況,,,,,,,,,,,,,,,,,
105 學年度  SY 2016-2017,,,,,,,,,,,,,,,,,
單位：人；班,,,,,,,,,,,,,,,,,
,,專任教師數,,,兼任教師數,,,職員數,,,班級數,學生數,,,上學年畢業生數,,
,,總計,男,女,總計,男,女,總計,男,女,,總計,男,女,總計,男,女
031312,桃園市治平高中,235,115,120,120,69,51,46,9,37,147,"6,642","3,650","2,992","1,894","1,032",862
031313,桃園市振聲高中,178,78,100,29,18,11,29,6,23,77,"3,504","1,553","1,951","1,125",483,642
031317,私立光啟高中,79,34,45,47,41,6,27,8,19,61,"2,180","1,657",523,658,484,174
031318,桃園市啟英高中,236,106,130,62,40,22,32,7,25,155,"7,374","3,972","3,402","2,325","1,256","1,069"
031319,桃園市清華高中,54,29,25,16,12,4,18,8,10,40,"1,008",730,278,308,210,98
031320,桃園市新興高中,287,119,168,31,19,12,33,4,29,153,"6,917","3,970","2,947","2,353","1,357",996
031323,私立至善高中,49,21,28, -, -, -,23,7,16,30,937,591,346,166,102,64
031324,桃園市大興高中,89,49,40,20,10,10,10,3,7,57,"1,999","1,425",574,563,378,185
031326,私立大華高中,53,17,36,2,1,1,15,5,10,6,271,161,110,76,31,45
034306,市立南崁高中,109,34,75, -, -, -,16,2,14,42,"1,581",787,794,409,192,217
034312,市立大溪高中,81,32,49, -, -, -,10,2,8,33,"1,242",629,613,411,215,196
034314,市立壽山高中,140,60,80, -, -, -,17,4,13,54,"2,063",843,"1,220",656,225,431
034319,市立平鎮高中,118,40,78, -, -, -,12,3,9,48,"1,814",933,881,598,277,321
034332,市立觀音高中,135,47,88,6,5,1,16,4,12,24,879,500,379,276,154,122
034347,市立永豐高中,166,42,124, -, -, -,18, -,18,33,"1,272",671,601,382,185,197
034399,市立大園國際高中,106,43,63, -, -, -,15,4,11,45,"1,705",605,"1,100",463,145,318
040302,國立竹東高中,110,36,74,24,16,8,20,5,15,48,"1,747",874,873,569,280,289
040304,國立關西高中,72,27,45,7,3,4,20,7,13,27,954,459,495,314,150,164
040308,國立竹北高中,140,49,91,20,10,10,28,6,22,57,"2,056","1,078",978,665,310,355
041303,私立義民高中,109,41,68,37,18,19,17,2,15,46,"2,118","1,041","1,077",717,364,353
041305,私立忠信高中,82,33,49,7,4,3,8,4,4,44,"1,664",896,768,865,489,376
041306,私立東泰高中,76,44,32,24,16,8,21,7,14,57,"1,753","1,027",726,506,302,204
041307,私立仰德高中,54,22,32,22,12,10,20,6,14,45,"1,618",990,628,437,260,177
044311,縣立六家高級中學,54,15,39, -, -, -,4, -,4,13,512,210,302, -, -, -
044320,縣立湖口高中,151,42,109, -, -, -,17,6,11,18,660,338,322,189,75,114
050303,國立苗栗高中,95,36,59,4,1,3,20,8,12,42,"1,564",668,896,426,217,209
050310,國立竹南高中,103,30,73,2, -,2,26,7,19,42,"1,556",793,763,499,228,271
050314,國立卓蘭高中,114,47,67,7,5,2,23,7,16,33,"1,055",378,677,367,125,242
050315,國立苑裡高中,87,36,51, -, -, -,18,6,12,36,"1,285",539,746,405,193,212
051302,私立君毅高中,111,40,71,23,6,17,27,14,13,50,"1,830","1,032",798,527,316,211
051305,私立大成高中,15,7,8,24,11,13,8,3,5,31,421,185,236,142,65,77
051306,私立建臺高中,116,48,68,16,8,8,17,6,11,39,"1,529",802,727,429,255,174
051307,私立全人實驗高中,12,10,2, -, -, -,2, -,2,3,31,15,16,5,3,2
054308,縣立三義高中,69,24,45, -, -, -,9,4,5,13,379,144,235,141,72,69
054309,縣立苑裡高中,145,46,99, -, -, -,19,7,12,20,618,294,324,204,92,112
054317,縣立興華高中,115,37,78, -, -, -,15,4,11,18,581,284,297,199,96,103
054333,縣立大同高中,53,13,40, -, -, -,7,2,5,12,412,195,217,108,51,57
060303,國立大甲高中,111,45,66,5,3,2,28,13,15,42,"1,507",653,854,530,204,326
060305,國立清水高中,99,43,56, -, -, -,21,4,17,42,"1,575",723,852,575,258,317
060312,國立豐原高中,109,48,61, -, -, -,22,3,19,45,"1,651",751,900,600,235,365
060322,國立興大附中,99,52,47,3,2,1,21,4,17,42,"1,663",875,788,582,286,296
060323,國立中科實驗高級中學,30,16,14, -, -, -,12,2,10,12,363,207,156,117,63,54
