End of Year",性別,,總計,0 歲,1 歲,2 歲,3 歲,4 歲,5 歲,6 歲,7 歲,8 歲,9 歲,10 歲,11 歲,12 歲,13 歲,14 歲,15 歲,16 歲,17 歲,18 歲,19 歲,20 歲,21 歲,22 歲,23 歲,24 歲,25 歲,26 歲,27 歲,28 歲,29 歲,30 歲,31 歲,32 歲,33 歲,34 歲,35 歲,36 歲,37 歲,38 歲,39 歲,40 歲,41 歲,42 歲,43 歲,44 歲,45 歲,46 歲,47 歲,48 歲,49 歲,50 歲,51 歲,52 歲,53 歲,54 歲,55 歲,56 歲,57 歲,58 歲,59 歲,60 歲,61 歲,62 歲,63 歲,64 歲,65 歲,66 歲,67 歲,68 歲,69 歲,70 歲,71 歲,72 歲,73 歲,74 歲,75 歲,76 歲,77 歲,78 歲,79 歲,80 歲,81 歲,82 歲,83 歲,84 歲,85 歲,86 歲,87 歲,88 歲,89 歲,90 歲,91 歲,92 歲,93 歲,94 歲,95 歲,96 歲,97 歲,98 歲,99 歲,100 歲以上,,,,,,,,,,,,,,,,,,,
,Sex,,Grand Total,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years & Over,,,,,,,,,,,,,,,,,,,
六十六年 1977,計,T.,"16,882,053","359,847","418,591","364,410","359,884","360,715","360,852","372,736","384,681","387,121","387,337","370,800","399,791","395,748","403,042","409,730","405,327","401,764","398,138","396,142","385,107","366,734","381,322","374,072","355,349","343,170","337,642","342,821","290,088","271,363","238,995","211,290","173,907","157,497","184,309","189,251","187,205","190,738","191,449","184,029","174,817","174,507","166,792","167,209","164,359","161,210","163,169","169,916","172,970","168,460","166,375","159,425","157,308","149,643","135,980","126,962","127,465","124,671","109,464","99,117","93,471","90,493","81,881","79,694","80,227","76,450","78,803","63,546","58,834","54,338","47,258","45,162","40,534","37,838","31,720","27,326","25,948","22,255","20,181","16,215","15,678","11,904","9,474","8,513","6,693","5,366","4,719","3,437","2,726","2,246","1,673","4,637",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"8,829,635","186,055","216,114","187,440","185,439","185,913","185,125","191,560","197,782","199,030","199,336","191,055","204,945","202,947","207,178","210,109","208,460","206,291","204,768","202,698","196,772","187,532","195,188","191,598","181,679","175,479","172,785","174,872","148,656","139,360","122,862","108,311","89,427","80,792","94,842","97,338","96,033","98,101","97,622","93,314","89,082","88,943","85,508","85,780","85,925","86,538","89,759","96,631","101,712","100,073","99,420","96,652","95,149","91,569","81,343","75,263","75,165","73,327","64,078","57,650","53,777","51,291","46,433","44,532","44,846","42,404","45,369","32,250","29,952","27,718","23,450","22,484","19,684","17,979","15,062","12,881","11,728","9,743","8,720","6,832","6,301","4,546","3,784","3,236","2,436","1,890","1,629","1,158",885,652,492,"1,116",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"8,052,418","173,792","202,477","176,970","174,445","174,802","175,727","181,176","186,899","188,091","188,001","179,745","194,846","192,801","195,864","199,621","196,867","195,473","193,370","193,444","188,335","179,202","186,134","182,474","173,670","167,691","164,857","167,949","141,432","132,003","116,133","102,979","84,480","76,705","89,467","91,913","91,172","92,637","93,827","90,715","85,735","85,564","81,284","81,429","78,434","74,672","73,410","73,285","71,258","68,387","66,955","62,773","62,159","58,074","54,637","51,699","52,300","51,344","45,386","41,467","39,694","39,202","35,448","35,162","35,381","34,046","33,434","31,296","28,882","26,620","23,808","22,678","20,850","19,859","16,658","14,445","14,220","12,512","11,461","9,383","9,377","7,358","5,690","5,277","4,257","3,476","3,090","2,279","1,841","1,594","1,181","3,521",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
六十七年 1978,計,T.,"17,202,491","375,802","386,671","420,608","366,800","361,275","360,716","360,058","372,464","383,789","386,069","386,582","369,911","398,973","394,866","402,761","409,395","404,375","400,984","397,914","395,902","385,160","366,495","380,791","372,877","353,997","341,815","336,028","341,041","288,663","270,027","238,214","210,724","173,421","157,662","184,291","188,995","186,780","189,962","191,090","183,721","174,280","173,908","166,210","166,561","163,545","160,414","162,247","168,953","171,843","167,304","165,176","158,596","156,041","148,367","134,819","125,633","126,172","123,471","108,249","97,643","92,207","89,290","80,645","78,280","78,581","74,333","76,918","61,837","56,927","52,523","45,440","43,214","38,634","36,049","29,916","25,580","24,163","20,660","18,515","14,805","14,168","10,692","8,328","7,480","5,790","4,583","3,981","2,907","2,259","1,860","4,825",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"8,991,263","195,214","199,426","217,055","188,831","186,032","186,080","184,813","191,666","197,651","198,664","199,036","190,675","204,961","202,605","207,215","210,031","207,681","205,777","204,513","202,337","197,054","187,363","194,834","190,920","181,112","174,777","171,901","174,141","148,093","138,585","122,410","108,157","89,165","80,985","94,709","97,326","95,790","97,559","97,419","93,170","88,990","88,651","85,163","85,265","85,208","85,942","89,235","95,725","100,799","99,163","98,971","95,842","93,967","90,460","80,456","74,220","74,251","72,423","63,141","56,579","52,989","50,464","45,524","43,540","43,759","40,822","44,075","31,287","28,847","26,592","22,435","21,324","18,618","16,850","14,058","11,973","10,778","8,919","7,895","6,173","5,631","4,059","3,299","2,795","2,097","1,562","1,327",943,720,530,"1,194",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"8,211,228","180,588","187,245","203,553","177,969","175,243","174,636","175,245","180,798","186,138","187,405","187,546","179,236","194,012","192,261","195,546","199,364","196,694","195,207","193,401","193,565","188,106","179,132","185,957","181,957","172,885","167,038","164,127","166,900","140,570","131,442","115,804","102,567","84,256","76,677","89,582","91,669","90,990","92,403","93,671","90,551","85,290","85,257","81,047","81,296","78,337","74,472","73,012","73,228","71,044","68,141","66,205","62,754","62,074","57,907","54,363","51,413","51,921","51,048","45,108","41,064","39,218","38,826","35,121","34,740","34,822","33,511","32,843","30,550","28,080","25,931","23,005","21,890","20,016","19,199","15,858","13,607","13,385","11,741","10,620","8,632","8,537","6,633","5,029","4,685","3,693","3,021","2,654","1,964","1,539","1,330","3,631",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
六十八年 1979,計,T.,"17,543,067","381,037","405,918","388,577","422,332","367,938","360,880","360,254","360,760","372,636","383,702","386,483","386,545","370,135","398,971","394,541","402,482","408,822","404,143","400,945","397,433","395,741","385,033","366,320","380,205","372,181","353,357","341,362","335,114","340,192","288,180","269,351","237,580","209,908","173,143","157,029","183,889","188,555","186,295","189,612","190,625","182,781","173,706","172,691","165,629","165,877","162,756","159,933","161,564","167,924","170,955","166,608","164,305","157,537","155,124","147,307","133,523","124,403","124,989","122,054","107,014","96,289","90,603","87,824","79,220","76,462","76,390","72,371","74,326","60,111","55,353","50,724","43,854","41,548","36,877","34,086","28,138","23,878","22,534","19,079","16,964","13,518","12,781","9,559","7,344","6,546","5,028","3,970","3,339","2,421","1,842","5,202",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"9,160,239","197,546","210,024","200,350","217,823","189,231","185,699","185,760","185,298","191,687","197,574","198,804","199,020","190,846","204,758","202,363","206,778","209,504","207,538","205,480","204,077","202,239","196,916","187,087","194,400","190,671","180,657","174,431","171,494","173,575","147,881","138,441","122,106","107,855","88,982","80,744","94,589","97,136","95,612","97,364","97,105","92,611","88,527","87,879","84,732","84,831","84,760","85,543","88,905","95,003","100,137","98,681","98,338","95,165","93,302","89,733","79,549","73,363","73,414","71,463","62,366","55,705","51,763","49,538","44,631","42,280","42,216","39,576","42,172","30,279","27,860","25,608","21,569","20,407","17,612","15,829","13,025","11,030","9,970","8,118","7,132","5,562","4,961","3,519","2,854","2,389","1,754","1,332","1,123",784,583,"1,311",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"8,382,828","183,491","195,894","188,227","204,509","178,707","175,181","174,494","175,462","180,949","186,128","187,679","187,525","179,289","194,213","192,178","195,704","199,318","196,605","195,465","193,356","193,502","188,117","179,233","185,805","181,510","172,700","166,931","163,620","166,617","140,299","130,910","115,474","102,053","84,161","76,285","89,300","91,419","90,683","92,248","93,520","90,170","85,179","84,812","80,897","81,046","77,996","74,390","72,659","72,921","70,818","67,927","65,967","62,372","61,822","57,574","53,974","51,040","51,575","50,591","44,648","40,584","38,840","38,286","34,589","34,182","34,174","32,795","32,154","29,832","27,493","25,116","22,285","21,141","19,265","18,257","15,113","12,848","12,564","10,961","9,832","7,956","7,820","6,040","4,490","4,157","3,274","2,638","2,216","1,637","1,259","3,891",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
六十九年 1980,計,T.,"17,866,008","375,537","410,131","403,450","388,533","419,772","365,747","359,489","359,900","360,437","372,738","383,502","386,055","385,738","370,293","397,926","394,323","401,417","407,979","403,564","399,849","397,735","395,329","383,934","366,010","378,830","370,960","351,899","340,275","333,707","338,184","286,683","267,978","236,841","209,531","173,790","158,065","184,455","188,401","186,398","189,879","190,788","182,749","173,974","173,053","165,962","165,805","162,805","159,963","161,511","167,789","170,610","166,150","163,544","156,639","154,139","145,672","132,593","123,115","123,536","120,700","105,225","95,132","89,162","86,238","77,750","75,173","74,988","71,059","72,068","58,208","53,227","48,640","41,950","39,437","34,902","31,873","26,313","22,379","20,939","17,525","15,272","12,234","11,382","8,440","6,483","5,767","4,319","3,377","2,788","1,992","5,405",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"9,320,105","193,883","211,922","208,900","200,295","216,881","188,226","185,136","185,787","185,013","191,465","197,422","198,730","198,766","190,610","204,395","201,980","206,289","208,564","207,114","204,958","204,181","202,173","196,330","186,934","193,846","189,942","179,822","173,976","170,647","172,686","147,050","137,947","121,933","107,689","89,205","81,371","94,689","96,994","95,539","97,450","97,284","92,597","88,855","88,071","85,037","84,840","84,795","85,453","88,689","94,694","99,855","98,188","97,774","94,212","92,603","88,346","78,769","72,371","72,314","70,348","60,961","54,750","50,668","48,302","43,503","41,349","41,286","38,722","40,667","29,136","26,410","24,235","20,307","18,993","16,539","14,669","12,048","10,245","9,135","7,377","6,349","4,961","4,392","3,056","2,494","2,097","1,520","1,134",901,637,"1,427",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"8,545,903","181,654","198,209","194,550","188,238","202,891","177,521","174,353","174,113","175,424","181,273","186,080","187,325","186,972","179,683","193,531","192,343","195,128","199,415","196,450","194,891","193,554","193,156","187,604","179,076","184,984","181,018","172,077","166,299","163,060","165,498","139,633","130,031","114,908","101,842","84,585","76,694","89,766","91,407","90,859","92,429","93,504","90,152","85,119","84,982","80,925","80,965","78,010","74,510","72,822","73,095","70,755","67,962","65,770","62,427","61,536","57,326","53,824","50,744","51,222","50,352","44,264","40,382","38,494","37,936","34,247","33,824","33,702","32,337","31,401","29,072","26,817","24,405","21,643","20,444","18,363","17,204","14,265","12,134","11,804","10,148","8,923","7,273","6,990","5,384","3,989","3,670","2,799","2,243","1,887","1,355","3,978",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七　十年 1981,計,T.,"18,193,955","375,453","405,218","415,875","406,825","389,627","421,803","365,022","359,315","359,085","359,714","371,979","382,978","386,019","385,678","369,766","397,851","393,782","401,232","407,808","403,082","400,222","397,216","394,437","383,475","364,317","378,192","370,565","351,331","339,507","333,293","338,075","286,959","268,374","237,101","210,172","172,958","156,595","183,407","187,809","185,797","188,997","189,601","182,243","173,298","172,465","164,809","164,801","161,726","158,582","160,314","166,680","169,359","164,753","162,230","155,233","152,351","144,178","130,801","121,458","121,727","118,698","103,478","93,274","87,685","84,455","75,832","73,071","73,085","68,753","69,906","56,121","51,172","46,740","40,035","37,530","32,864","30,039","24,465","20,837","19,210","16,099","13,794","10,878","10,116","7,356","5,657","4,852","3,646","2,751","2,308","5,728",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"9,479,508","194,306","208,952","214,971","210,252","200,493","217,664","187,671","184,877","185,066","184,418","191,347","197,029","198,234","198,517","190,430","203,969","201,747","205,915","208,661","206,549","204,833","203,943","201,645","195,919","185,938","193,350","189,715","179,539","173,308","170,490","172,416","147,276","137,848","121,870","107,929","88,743","80,580","94,379","96,696","95,242","96,932","96,518","92,232","88,130","87,683","84,283","84,228","84,083","84,607","87,893","94,085","98,792","97,112","96,844","93,324","91,410","87,495","77,508","71,281","71,008","68,968","59,899","53,587","49,726","47,198","42,237","40,047","40,017","37,220","39,258","27,927","25,311","23,184","19,210","18,052","15,406","13,690","11,132","9,506","8,303","6,702","5,660","4,321","3,821","2,631","2,157","1,719","1,246",949,732,"1,517",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
