End of Year",性別,,總計,0 歲,1 歲,2 歲,3 歲,4 歲,5 歲,6 歲,7 歲,8 歲,9 歲,10 歲,11 歲,12 歲,13 歲,14 歲,15 歲,16 歲,17 歲,18 歲,19 歲,20 歲,21 歲,22 歲,23 歲,24 歲,25 歲,26 歲,27 歲,28 歲,29 歲,30 歲,31 歲,32 歲,33 歲,34 歲,35 歲,36 歲,37 歲,38 歲,39 歲,40 歲,41 歲,42 歲,43 歲,44 歲,45 歲,46 歲,47 歲,48 歲,49 歲,50 歲,51 歲,52 歲,53 歲,54 歲,55 歲,56 歲,57 歲,58 歲,59 歲,60 歲,61 歲,62 歲,63 歲,64 歲,65 歲,66 歲,67 歲,68 歲,69 歲,70 歲,71 歲,72 歲,73 歲,74 歲,75 歲,76 歲,77 歲,78 歲,79 歲,80 歲,81 歲,82 歲,83 歲,84 歲,85 歲,86 歲,87 歲,88 歲,89 歲,90 歲,91 歲,92 歲,93 歲,94 歲,95 歲,96 歲,97 歲,98 歲,99 歲,100 歲以上,,,,,,,,,,,,,,,,,,,
,Sex,,Grand Total,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years,Years & Over,,,,,,,,,,,,,,,,,,,
,女,F.,"8,714,447","181,147","196,266","200,904","196,573","189,134","204,139","177,351","174,438","174,019","175,296","180,632","185,949","187,785","187,161","179,336","193,882","192,035","195,317","199,147","196,533","195,389","193,273","192,792","187,556","178,379","184,842","180,850","171,792","166,199","162,803","165,659","139,683","130,526","115,231","102,243","84,215","76,015","89,028","91,113","90,555","92,065","93,083","90,011","85,168","84,782","80,526","80,573","77,643","73,975","72,421","72,595","70,567","67,641","65,386","61,909","60,941","56,683","53,293","50,177","50,719","49,730","43,579","39,687","37,959","37,257","33,595","33,024","33,068","31,533","30,648","28,194","25,861","23,556","20,825","19,478","17,458","16,349","13,333","11,331","10,907","9,397","8,134","6,557","6,295","4,725","3,500","3,133","2,400","1,802","1,576","4,211",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十一年 1982,計,T.,"18,515,754","364,711","409,024","407,037","417,591","407,563","389,520","421,277","364,816","359,123","359,580","359,860","372,007","382,776","385,362","385,109","369,376","397,625","393,133","401,206","407,754","403,976","400,217","397,396","394,613","383,349","364,415","378,412","370,161","351,819","339,275","333,779","338,638","286,935","268,026","236,994","209,256","172,563","156,414","182,851","187,247","185,042","187,964","188,801","181,383","172,143","171,150","164,051","163,956","160,782","157,508","159,201","165,381","168,350","163,432","160,651","153,622","150,703","142,700","129,300","120,182","120,193","116,986","101,898","91,632","85,730","82,563","73,931","71,413","70,518","66,372","67,381","53,908","48,940","44,411","37,717","35,307","30,703","27,985","22,606","19,140","17,566","14,407","12,347","9,602","8,839","6,359","4,802","4,004","3,005","2,268","6,133",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"9,636,285","188,794","211,036","209,726","215,305","210,460","200,414","217,024","187,532","184,408","185,033","184,368","191,163","196,723","197,950","198,210","190,237","203,800","201,312","206,066","208,534","207,086","204,849","204,055","201,468","195,616","185,713","193,440","189,389","179,749","172,889","170,674","172,777","147,257","137,850","121,844","107,444","88,703","80,197","94,017","96,201","94,674","96,282","95,869","91,651","87,539","86,780","83,686","83,631","83,423","83,809","87,257","93,323","98,226","96,408","95,764","92,302","90,198","86,497","76,470","70,491","70,039","67,755","58,798","52,473","48,431","45,893","41,016","39,013","38,368","35,803","37,651","26,717","24,007","21,970","17,993","16,741","14,267","12,609","10,195","8,638","7,514","5,873","4,981","3,752","3,293","2,280","1,764","1,389","1,002",738,"1,729",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"8,879,469","175,917","197,988","197,311","202,286","197,103","189,106","204,253","177,284","174,715","174,547","175,492","180,844","186,053","187,412","186,899","179,139","193,825","191,821","195,140","199,220","196,890","195,368","193,341","193,145","187,733","178,702","184,972","180,772","172,070","166,386","163,105","165,861","139,678","130,176","115,150","101,812","83,860","76,217","88,834","91,046","90,368","91,682","92,932","89,732","84,604","84,370","80,365","80,325","77,359","73,699","71,944","72,058","70,124","67,024","64,887","61,320","60,505","56,203","52,830","49,691","50,154","49,231","43,100","39,159","37,299","36,670","32,915","32,400","32,150","30,569","29,730","27,191","24,933","22,441","19,724","18,566","16,436","15,376","12,411","10,502","10,052","8,534","7,366","5,850","5,546","4,079","3,038","2,615","2,003","1,530","4,404",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十二年 1983,計,T.,"18,790,538","355,718","396,984","410,692","407,496","417,787","406,885","388,688","421,440","365,111","360,112","359,704","359,930","371,973","382,298","385,096","384,964","368,565","396,645","392,793","400,352","407,130","402,843","399,530","395,545","393,127","381,433","362,570","375,610","368,448","349,871","337,591","331,682","336,780","285,838","267,082","235,383","208,092","172,041","156,177","182,294","186,454","184,173","187,082","188,180","180,266","171,055","170,282","162,558","162,583","159,377","156,311","157,702","164,469","166,577","162,072","159,032","152,110","149,108","140,838","127,722","118,252","117,914","114,910","100,091","89,767","83,913","80,440","71,839","69,018","68,284","64,123","64,794","51,626","46,548","42,058","35,449","32,668","28,503","25,571","20,602","17,455","15,677","12,752","10,693","8,408","7,545","5,316","3,939","3,335","2,453","6,344",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"9,769,572","183,646","204,972","211,679","209,669","215,346","210,078","199,811","217,071","187,544","184,939","185,150","184,646","191,108","196,864","197,784","198,268","189,635","203,250","201,043","205,377","208,367","206,717","204,587","202,996","200,821","194,631","184,994","191,750","188,587","178,503","172,146","169,429","171,761","146,529","136,915","120,850","106,662","88,277","80,180","93,533","95,714","94,040","95,622","95,417","91,007","86,725","86,394","82,664","82,767","82,574","83,079","86,104","92,644","97,042","95,395","94,598","91,185","89,084","85,271","75,374","69,073","68,459","66,304","57,536","51,318","47,264","44,512","39,707","37,521","37,158","34,343","36,003","25,411","22,778","20,628","16,768","15,305","13,055","11,410","9,176","7,789","6,672","5,185","4,281","3,214","2,781","1,845","1,425","1,147",822,"1,867",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,020,966","172,072","192,012","199,013","197,827","202,441","196,807","188,877","204,369","177,567","175,173","174,554","175,284","180,865","185,434","187,312","186,696","178,930","193,395","191,750","194,975","198,763","196,126","194,943","192,549","192,306","186,802","177,576","183,860","179,861","171,368","165,445","162,253","165,019","139,309","130,167","114,533","101,430","83,764","75,997","88,761","90,740","90,133","91,460","92,763","89,259","84,330","83,888","79,894","79,816","76,803","73,232","71,598","71,825","69,535","66,677","64,434","60,925","60,024","55,567","52,348","49,179","49,455","48,606","42,555","38,449","36,649","35,928","32,132","31,497","31,126","29,780","28,791","26,215","23,770","21,430","18,681","17,363","15,448","14,161","11,426","9,666","9,005","7,567","6,412","5,194","4,764","3,471","2,514","2,188","1,631","4,477",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十三年 1984,計,T.,"19,069,194","337,972","376,836","397,911","410,334","406,361","416,688","406,002","388,461","420,771","364,973","359,212","359,859","359,325","371,432","382,180","384,644","383,894","368,524","396,217","392,847","400,635","407,323","403,024","399,383","395,821","392,551","380,679","361,831","375,516","367,928","349,435","337,244","331,554","336,028","285,641","266,115","235,174","207,690","171,768","155,950","181,522","186,096","184,011","187,058","187,690","179,832","170,710","169,565","162,146","161,906","158,997","155,526","156,844","163,218","165,639","160,296","157,791","151,022","147,801","139,538","126,026","116,764","116,403","113,340","98,140","88,066","82,223","78,543","70,067","67,084","66,319","61,900","62,359","49,307","44,396","39,720","33,248","30,757","26,496","23,708","18,890","15,998","14,159","11,397","9,505","7,383","6,444","4,541","3,371","2,845","6,854",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"9,904,853","175,299","194,034","205,099","211,738","209,003","214,669","209,501","199,764","216,765","187,372","184,412","185,270","184,255","190,746","196,770","197,396","197,358","189,403","202,851","200,731","205,575","208,334","206,734","204,347","202,922","200,431","194,385","184,269","191,669","188,211","178,136","171,980","169,527","171,417","146,282","136,535","120,590","106,516","88,082","79,864","93,087","95,423","94,130","95,705","95,162","90,820","86,461","85,831","82,358","82,354","82,058","82,513","85,653","91,760","96,078","94,283","93,720","90,358","88,172","84,204","74,163","67,992","67,330","65,238","56,231","50,066","46,058","43,170","38,634","36,329","35,871","33,059","34,530","24,039","21,450","19,256","15,520","14,340","12,015","10,474","8,336","7,039","5,937","4,612","3,777","2,793","2,370","1,576","1,218","1,006","2,052",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,164,341","162,673","182,802","192,812","198,596","197,358","202,019","196,501","188,697","204,006","177,601","174,800","174,589","175,070","180,686","185,410","187,248","186,536","179,121","193,366","192,116","195,060","198,989","196,290","195,036","192,899","192,120","186,294","177,562","183,847","179,717","171,299","165,264","162,027","164,611","139,359","129,580","114,584","101,174","83,686","76,086","88,435","90,673","89,881","91,353","92,528","89,012","84,249","83,734","79,788","79,552","76,939","73,013","71,191","71,458","69,561","66,013","64,071","60,664","59,629","55,334","51,863","48,772","49,073","48,102","41,909","38,000","36,165","35,373","31,433","30,755","30,448","28,841","27,829","25,268","22,946","20,464","17,728","16,417","14,481","13,234","10,554","8,959","8,222","6,785","5,728","4,590","4,074","2,965","2,153","1,839","4,802",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十四年 1985,計,T.,"19,313,825","314,453","364,457","378,795","398,996","409,848","407,178","416,259","405,295","387,990","419,231","364,452","358,922","359,063","359,453","371,752","380,892","383,679","383,198","368,536","395,955","392,651","400,528","406,384","401,749","398,259","394,275","390,707","378,531","361,005","373,518","366,140","347,337","335,872","329,812","333,894","282,826","264,163","233,969","206,843","171,651","156,408","181,549","185,947","183,978","186,800","186,931","179,259","170,602","169,510","162,045","161,868","158,550","155,546","156,446","162,904","164,388","159,698","156,384","149,633","146,061","137,833","124,710","115,451","114,551","111,200","96,110","85,938","80,310","76,388","67,969","65,317","63,739","59,429","59,261","46,925","41,920","37,690","31,302","28,724","24,494","21,937","17,278","14,497","12,665","10,174","8,460","6,493","5,668","3,916","2,915","7,536",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"10,023,344","162,253","188,429","195,027","205,781","211,341","209,211","214,476","209,368","199,537","216,009","187,354","184,266","184,924","184,275","191,093","195,628","196,789","196,782","189,225","202,757","200,917","205,720","207,862","206,071","203,913","202,238","199,389","193,367","184,236","190,671","187,370","177,050","171,452","168,833","169,942","145,070","135,402","120,074","105,911","87,938","79,962","93,198","95,173","93,876","95,328","94,794","90,346","86,266","85,645","82,225","82,321","81,711","82,221","85,168","91,322","95,319","93,576","92,661","89,348","86,797","83,085","73,308","66,970","66,014","63,678","54,777","48,625","44,624","41,822","37,238","35,058","34,239","31,446","32,434","22,695","20,034","18,090","14,485","13,273","10,902","9,623","7,547","6,337","5,243","4,050","3,317","2,443","2,036","1,346","1,072","2,325",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,290,481","152,200","176,028","183,768","193,215","198,507","197,967","201,783","195,927","188,453","203,222","177,098","174,656","174,139","175,178","180,659","185,264","186,890","186,416","179,311","193,198","191,734","194,808","198,522","195,678","194,346","192,037","191,318","185,164","176,769","182,847","178,770","170,287","164,420","160,979","163,952","137,756","128,761","113,895","100,932","83,713","76,446","88,351","90,774","90,102","91,472","92,137","88,913","84,336","83,865","79,820","79,547","76,839","73,325","71,278","71,582","69,069","66,122","63,723","60,285","59,264","54,748","51,402","48,481","48,537","47,522","41,333","37,313","35,686","34,566","30,731","30,259","29,500","27,983","26,827","24,230","21,886","19,600","16,817","15,451","13,592","12,314","9,731","8,160","7,422","6,124","5,143","4,050","3,632","2,570","1,843","5,211",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十五年 1986,計,T.,"19,509,082","292,230","341,029","366,508","378,870","398,884","410,483","405,214","414,807","404,611","386,857","418,844","364,300","358,645","358,380","359,004","369,442","379,730","382,236","382,898","368,237","396,557","392,723","399,583","404,833","400,626","396,394","392,143","388,666","377,219","359,393","371,964","364,440","346,542","334,243","328,426","330,416","281,583","263,042","233,256","206,072","171,353","156,681","181,541","185,516","183,219","185,832","186,247","178,834","169,948","168,856","161,415","161,054","157,863","154,430","155,446","160,841","162,687","157,846","154,622","147,301","143,630","135,417","122,716","113,399","112,516","108,238","93,537","83,882","77,969","74,269","65,775","62,649","61,300","56,766","56,308","44,057","39,098","34,805","28,757","26,151","22,054","19,566","15,241","12,708","10,883","8,739","7,061","5,344","4,534","3,096","7,755",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"10,114,710","151,010","176,062","189,223","195,055","205,722","211,645","208,574","213,668","208,485","199,075","215,885","187,458","184,076","184,552","183,830","189,690","195,040","196,104","196,761","189,121","202,943","201,133","205,113","207,034","205,214","202,906","201,032","198,362","192,668","183,303","190,052","186,037","176,834","170,344","167,939","168,654","144,482","134,834","119,688","105,571","87,813","80,261","92,936","94,876","93,356","94,865","94,233","90,113","85,687","85,214","81,931","81,913","81,291","81,592","84,572","89,873","94,082","92,285","91,078","87,567","84,944","81,043","71,602","65,265","64,526","61,741","52,932","47,253","43,102","40,427","35,747","33,441","32,758","29,789","30,581","21,009","18,489","16,507","13,136","11,889","9,743","8,484","6,549","5,442","4,420","3,404","2,719","1,970","1,624","1,037","2,420",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,394,372","141,220","164,967","177,285","183,815","193,162","198,838","196,640","201,139","196,126","187,782","202,959","176,842","174,569","173,828","175,174","179,752","184,690","186,132","186,137","179,116","193,614","191,590","194,470","197,799","195,412","193,488","191,111","190,304","184,551","176,090","181,912","178,403","169,708","163,899","160,487","161,762","137,101","128,208","113,568","100,501","83,540","76,420","88,605","90,640","89,863","90,967","92,014","88,721","84,261","83,642","79,484","79,141","76,572","72,838","70,874","70,968","68,605","65,561","63,544","59,734","58,686","54,374","51,114","48,134","47,990","46,497","40,605","36,629","34,867","33,842","30,028","29,208","28,542","26,977","25,727","23,048","20,609","18,298","15,621","14,262","12,311","11,082","8,692","7,266","6,463","5,335","4,342","3,374","2,910","2,059","5,335",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十六年 1987,計,T.,"19,725,010","288,992","307,757","342,881","366,154","378,595","397,972","408,943","404,942","413,796","403,949","387,356","417,636","364,274","358,793","358,558","357,850","369,371","379,362","382,655","383,170","369,288","396,341","393,062","398,646","403,517","400,022","394,718","390,295","387,225","376,012","358,004","369,739","362,629","344,905","333,177","326,005","329,415","280,563","262,326","232,675","205,934","171,625","157,369","181,415","185,459","183,071","185,857","186,172","178,872","169,885","168,481","161,096","160,489","157,773","154,363","154,548","160,325","161,906","156,715","153,232","146,006","142,293","134,011","121,262","111,854","110,282","106,468","91,934","82,228","76,205","72,453","63,574","60,457","58,887","54,261","53,051","41,410","36,756","32,414","26,553","23,927","20,064","17,651","13,818","11,121","9,726","7,509","6,036","4,448","3,714","8,480",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"10,217,434","150,365","158,838","176,770","189,064","194,732","204,914","211,011","208,251","213,179","208,193","198,992","215,156","186,946","184,149","184,385","182,892","189,322","194,759","196,013","196,747","189,781","202,902","201,076","204,727","206,231","205,036","202,286","200,135","197,814","192,178","182,824","188,842","185,368","175,986","169,940","166,740","167,775","143,652","134,444","119,189","105,246","87,716","80,384","92,648","94,510","93,244","94,724","94,137","89,841","85,648","84,988","81,545","81,354","81,040","81,309","83,772","89,565","93,351","91,307","90,341","86,544","84,046","80,091","70,659","64,159","63,071","60,473","51,914","46,101","41,871","39,212","34,375","32,224","31,179","28,301","28,603","19,543","17,202","15,212","12,044","10,828","8,751","7,551","5,870","4,690","3,890","2,912","2,263","1,624","1,276","2,681",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,507,576","138,627","148,919","166,111","177,090","183,863","193,058","197,932","196,691","200,617","195,756","188,364","202,480","177,328","174,644","174,173","174,958","180,049","184,603","186,642","186,423","179,507","193,439","191,986","193,919","197,286","194,986","192,432","190,160","189,411","183,834","175,180","180,897","177,261","168,919","163,237","159,265","161,640","136,911","127,882","113,486","100,688","83,909","76,985","88,767","90,949","89,827","91,133","92,035","89,031","84,237","83,493","79,551","79,135","76,733","73,054","70,776","70,760","68,555","65,408","62,891","59,462","58,247","53,920","50,603","47,695","47,211","45,995","40,020","36,127","34,334","33,241","29,199","28,233","27,708","25,960","24,448","21,867","19,554","17,202","14,509","13,099","11,313","10,100","7,948","6,431","5,836","4,597","3,773","2,824","2,438","5,799",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十七年 1988,計,T.,"19,954,397","314,365","312,614","308,821","342,168","365,926","378,269","397,859","409,469","404,639","414,357","403,572","386,625","417,911","364,201","358,076","357,174","357,720","368,993","379,704","382,902","384,003","368,338","396,149","391,606","397,575","403,188","398,216","393,387","389,291","385,581","375,106","357,485","369,744","362,875","344,626","331,659","326,134","329,315","280,610","262,332","231,962","205,141","171,104","156,265","180,619","184,375","182,357","184,575","185,165","177,838","168,780","167,392","160,085","159,422","156,468","152,397","152,962","158,592","160,201","154,816","151,048","144,122","139,986","131,645","118,708","109,021","107,649","103,791","89,301","79,648","73,751","69,962","61,482","58,376","56,096","51,283","49,430","38,706","33,965","29,605","24,184","21,581","17,907","15,603","11,991","9,779","8,293","6,327","4,973","3,669","9,414",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"10,328,081","163,717","162,248","159,442","176,539","188,929","194,948","204,852","211,328","208,141","213,629","208,181","198,604","215,360","186,988","184,071","183,522","183,088","188,980","194,613","196,065","197,249","188,910","202,712","200,058","203,840","206,274","203,834","201,179","199,440","196,726","191,837","182,098","188,843","185,384","175,882","169,052","166,439","167,888","143,561","134,287","118,755","104,849","87,270","79,624","92,187","94,151","92,818","93,945","93,496","89,222","85,027","84,131","80,883","80,604","80,343","80,217","82,876","88,523","92,209","89,983","88,634","85,152","82,422","78,412","68,951","62,266","61,222","58,752","50,284","44,432","40,432","37,749","33,162","30,859","29,483","26,571","26,285","18,055","15,743","13,658","10,779","9,603","7,714","6,591","5,000","4,103","3,280","2,465","1,821","1,304","3,046",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,626,316","150,648","150,366","149,379","165,629","176,997","183,321","193,007","198,141","196,498","200,728","195,391","188,021","202,551","177,213","174,005","173,652","174,632","180,013","185,091","186,837","186,754","179,428","193,437","191,548","193,735","196,914","194,382","192,208","189,851","188,855","183,269","175,387","180,901","177,491","168,744","162,607","159,695","161,427","137,049","128,045","113,207","100,292","83,834","76,641","88,432","90,224","89,539","90,630","91,669","88,616","83,753","83,261","79,202","78,818","76,125","72,180","70,086","70,069","67,992","64,833","62,414","58,970","57,564","53,233","49,757","46,755","46,427","45,039","39,017","35,216","33,319","32,213","28,320","27,517","26,613","24,712","23,145","20,651","18,222","15,947","13,405","11,978","10,193","9,012","6,991","5,676","5,013","3,862","3,152","2,365","6,368",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十八年 1989,計,T.,"20,156,587","296,367","338,906","315,797","311,476","344,059","366,900","378,380","397,523","407,708","405,091","412,625","402,815","386,860","415,006","363,684","356,582","356,321","357,188","369,177","379,384","382,996","382,630","368,947","394,365","389,822","397,268","400,854","396,700","391,978","388,560","384,743","373,127","357,906","368,988","361,373","342,493","331,272","325,484","327,410","279,936","260,178","230,272","203,682","170,964","157,217","180,543","184,147","181,908","184,545","184,357","175,908","167,912","166,028","159,267","158,373","154,639","150,671","151,345","156,902","157,829","153,086","148,683","141,855","137,502","128,752","116,117","106,789","104,972","100,558","86,570","76,927","70,858","66,788","58,637","55,303","52,540","48,188","46,444","35,745","31,176","27,160","22,007","19,386","16,032","13,689","10,615","8,456","7,009","5,202","4,110","10,043",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"10,424,102","153,990","175,986","163,884","161,063","177,369","189,482","194,890","204,818","210,127","208,387","212,693","207,519","198,901","213,649","186,811","182,704","182,683","182,479","189,142","194,433","196,271","196,506","189,359","202,131","199,175","204,148","205,276","203,464","200,584","199,094","196,467","190,426","182,400","188,359","184,715","174,678","168,812","166,369","166,615","143,361","133,255","117,758","103,990","87,296","79,961","92,198","93,842","92,353","93,734","93,072","88,301","84,372","83,448","80,375","79,991","79,351","79,192","81,647","87,240","90,231","88,732","86,919","83,468","80,632","76,197","67,151","60,676","59,497","56,682","48,463","42,629","38,529","35,716","31,243","28,989","27,358","24,638","24,458","16,501","14,282","12,409","9,762","8,582","6,799","5,650","4,353","3,508","2,732","1,945","1,483","3,292",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,732,485","142,377","162,920","151,913","150,413","166,690","177,418","183,490","192,705","197,581","196,704","199,932","195,296","187,959","201,357","176,873","173,878","173,638","174,709","180,035","184,951","186,725","186,124","179,588","192,234","190,647","193,120","195,578","193,236","191,394","189,466","188,276","182,701","175,506","180,629","176,658","167,815","162,460","159,115","160,795","136,575","126,923","112,514","99,692","83,668","77,256","88,345","90,305","89,555","90,811","91,285","87,607","83,540","82,580","78,892","78,382","75,288","71,479","69,698","69,662","67,598","64,354","61,764","58,387","56,870","52,555","48,966","46,113","45,475","43,876","38,107","34,298","32,329","31,072","27,394","26,314","25,182","23,550","21,986","19,244","16,894","14,751","12,245","10,804","9,233","8,039","6,262","4,948","4,277","3,257","2,627","6,751",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
七十九年 1990,計,T.,"20,401,305","323,952","315,676","343,036","317,688","312,936","344,892","365,846","377,907","397,140","407,503","403,351","412,333","401,810","386,219","415,076","360,369","355,467","355,632","357,495","367,509","378,175","381,185","381,194","367,781","393,801","389,974","396,305","401,093","395,714","391,471","387,984","383,996","373,509","357,382","368,647","359,562","342,268","330,660","325,012","327,142","278,350","260,208","230,725","204,352","171,602","156,841","180,187","184,228","181,874","184,412","183,576","176,173","167,590","165,904","158,733","157,115","153,469","149,411","150,125","155,161","155,806","150,332","146,844","139,752","135,212","126,612","113,814","104,831","102,564","98,629","83,959","74,052","68,470","64,365","55,964","52,078","49,532","45,283","43,314","32,739","28,496","24,423","19,618","17,163","13,899","11,946","9,053","7,218","5,770","4,279","10,560",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"10,540,635","169,026","163,555","177,621","164,607","161,500","177,399","188,661","194,188","204,454","209,828","207,244","212,421","207,236","198,310","213,167","184,447","182,076","182,287","182,882","187,830","193,825","195,141","195,504","188,639","201,645","199,707","203,574","205,381","202,955","200,244","199,112","196,075","191,085","182,259","188,770","183,761","174,787","168,662","166,018","166,388","142,485","133,182","118,127","104,582","87,533","79,908","91,844","93,535","92,224","93,453","92,546","88,167","84,272","83,207","79,874","79,142","78,324","78,172","80,757","85,986","89,029","86,857","85,525","82,055","79,093","74,521","65,402","59,520","57,842","55,068","46,612","40,671","36,997","34,184","29,655","27,049","25,613","23,034","22,520","15,013","12,836","10,998","8,619","7,504","5,850","4,913","3,680","3,000","2,232","1,631","3,521",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,860,670","154,926","152,121","165,415","153,081","151,436","167,493","177,185","183,719","192,686","197,675","196,107","199,912","194,574","187,909","201,909","175,922","173,391","173,345","174,613","179,679","184,350","186,044","185,690","179,142","192,156","190,267","192,731","195,712","192,759","191,227","188,872","187,921","182,424","175,123","179,877","175,801","167,481","161,998","158,994","160,754","135,865","127,026","112,598","99,770","84,069","76,933","88,343","90,693","89,650","90,959","91,030","88,006","83,318","82,697","78,859","77,973","75,145","71,239","69,368","69,175","66,777","63,475","61,319","57,697","56,119","52,091","48,412","45,311","44,722","43,561","37,347","33,381","31,473","30,181","26,309","25,029","23,919","22,249","20,794","17,726","15,660","13,425","10,999","9,659","8,049","7,033","5,373","4,218","3,538","2,648","7,039",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
八　十年 1991,計,T.,"20,605,831","308,569","335,726","316,346","344,733","318,072","311,801","342,579","365,979","377,400","396,250","407,355","403,232","411,951","401,900","385,257","413,572","360,512","354,869","355,058","356,036","367,748","377,279","380,207","380,539","365,829","392,670","387,723","392,999","398,311","394,030","390,144","386,493","382,921","373,393","356,168","367,178","358,316","341,459","330,001","323,615","325,854","278,355","259,729","230,700","204,712","171,131","156,425","180,269","183,867","181,575","183,472","183,213","175,336","166,471","165,158","156,421","155,424","151,833","148,335","148,488","153,566","153,984","148,833","145,265","137,766","133,089","124,285","111,505","102,432","100,130","95,270","81,594","71,896","65,773","61,644","52,937","49,362","46,921","42,489","40,625","30,512","26,156","22,162","17,754","15,324","12,372","10,355","7,855","6,206","4,862","11,919",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男,M.,"10,640,276","161,217","174,941","163,897","178,773","165,079","161,112","176,420","188,808","194,287","203,930","209,930","207,057","212,152","207,179","197,855","212,359","184,409","181,947","182,300","181,684","188,123","193,374","194,583","195,470","187,757","201,075","198,450","201,462","203,825","201,677","199,734","197,977","195,387","190,470","181,347","187,452","183,296","174,233","168,154","165,502","165,944","142,547","132,723","118,081","104,501","87,392","79,446","91,747","93,555","91,716","93,019","91,996","87,608","83,500","82,703","78,604","78,088","77,334","77,520","79,745","84,804","87,868","85,700","84,418","80,563","77,387","72,908","64,039","57,758","56,088","52,965","45,046","39,367","35,401","32,544","27,930","25,418","24,050","21,417","21,229","13,858","11,667","9,950","7,731","6,650","5,138","4,221","3,178","2,527","1,845","4,158",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,女,F.,"9,965,555","147,352","160,785","152,449","165,960","152,993","150,689","166,159","177,171","183,113","192,320","197,425","196,175","199,799","194,721","187,402","201,213","176,103","172,922","172,758","174,352","179,625","183,905","185,624","185,069","178,072","191,595","189,273","191,537","194,486","192,353","190,410","188,516","187,534","182,923","174,821","179,726","175,020","167,226","161,847","158,113","159,910","135,808","127,006","112,619","100,211","83,739","76,979","88,522","90,312","89,859","90,453","91,217","87,728","82,971","82,455","77,817","77,336","74,499","70,815","68,743","68,762","66,116","63,133","60,847","57,203","55,702","51,377","47,466","44,674","44,042","42,305","36,548","32,529","30,372","29,100","25,007","23,944","22,871","21,072","19,396","16,654","14,489","12,212","10,023","8,674","7,234","6,134","4,677","3,679","3,017","7,761",(90歲以上),,,,,,,,,,,,,,,,,,,,,,,,,,,,
